normal,gene377,gene765,gene14,gene1597,gene493,gene1671,gene1400,gene625,gene1892,gene1047,gene1917,gene1293,gene1884,gene1771,gene822,gene1758,gene1115,gene1416,gene419,gene99
F,0.043436,-0.58444,-1.3067,0.092227,-0.698936,-0.369044,-0.476931,0.79234,0.370383,-0.918946,-1.18073,-1.51794,-0.829427,0.697892,-1.69609,1.71931,1.22922,-0.4213,0.572767,0.308178
T,0.424935,1.92245,1.02923,-0.498545,1.64426,-1.36135,-1.38985,0.682479,1.45326,-0.246093,1.16443,-1.25106,-0.07275,-1.03423,1.25693,0.504243,-0.332635,0.76906,0.053219,-0.125845
F,0.265867,0.640185,0.684712,-0.039219,0.101192,-0.122111,0.355437,0.306087,0.105264,-0.954375,0.039428,-0.471209,-1.17748,0.208339,0.006657,-1.07947,-0.035818,-1.00087,0.348172,0.807557
T,1.04822,1.7931,1.01476,0.466268,2.02629,-1.78412,-0.722755,-1.15048,0.807683,-0.896482,0.049608,-0.84189,0.324683,-1.09438,1.07628,-1.20592,-1.16158,-0.511382,0.74524,0.29795
F,-0.720749,0.478516,-0.178935,0.818666,0.316226,-0.517352,1.01698,-1.1886,-0.235008,-0.219566,0.043344,-0.383185,-1.0611,-0.373964,-0.39052,-0.843946,-0.50594,-0.217717,-0.065855,-1.06619
T,0.435586,0.379343,-0.101042,0.64537,0.750946,-0.78385,-1.72185,-1.85838,-1.13995,0.398588,-0.129948,0.874881,0.611322,-2.30359,-0.284693,-1.41877,-2.05427,-0.396195,0.736467,0.085151
F,0.608344,-0.311375,-0.633022,0.036234,0.189036,0.587315,-0.03181,1.02459,-0.065456,-1.27301,0.383361,-0.377808,-1.36905,1.2427,-1.79101,1.09922,0.25993,-0.347229,-0.553948,-1.02496
T,2.79307,0.505664,1.02874,0.671953,1.62459,-0.416893,-0.163824,-0.749753,-0.629941,-2.49923,-0.167978,-1.6672,1.45635,-0.667981,-0.730527,-0.965117,0.696892,-0.880757,1.30297,0.436726
F,-0.86651,-0.518572,0.255625,-0.210832,0.03872,0.673107,0.035253,0.225784,-2.01713,0.702935,-0.74247,0.384847,-0.510507,1.32619,-1.63708,0.589093,0.400474,-0.606112,-0.58426,-1.28813
T,1.24517,1.84852,2.08865,-0.528005,1.48417,-0.968595,0.071298,-1.24503,0.479083,-2.22404,-0.411039,-2.98966,1.55311,-0.567127,0.226412,-1.34978,-0.905278,1.12853,1.70515,0.957145
F,0.206886,-0.654079,-1.84593,0.178398,0.37907,0.188356,0.636268,0.521564,-1.10078,1.02599,-0.280699,0.991906,-0.480594,-0.545897,-1.71256,1.0329,0.865608,-2.93099,-0.539278,-1.0559
T,0.480019,1.27248,-0.660579,0.732518,1.46716,-1.75036,-1.42803,-1.6444,1.09047,-0.334073,0.453765,-0.524762,1.06105,-1.56834,0.906518,-1.42232,-0.081145,-0.891652,0.886149,1.34645
F,-1.06196,-0.554355,0.217414,0.831048,-0.943869,2.1186,1.81095,0.020976,0.380518,-0.793193,-0.328554,-0.393695,-0.649738,0.711311,-1.12073,-0.962794,-0.130478,0.330947,0.592418,-0.492073
T,2.32254,0.65299,1.83464,2.28,1.40241,1.35008,-2.14975,-1.20663,0.289259,-1.12493,0.727258,-1.8497,0.867343,-1.03325,-0.224861,-1.04072,-0.322956,-0.834453,2.01225,1.3219
F,-0.922103,-0.69135,0.262912,0.067173,-0.412118,-0.710774,1.22494,0.062029,-0.510021,-0.226297,0.066443,0.397269,-0.12781,0.276397,-1.37047,-0.264681,-0.753497,-0.52509,-0.336026,-0.500274
F,-0.668042,-0.896282,-1.41239,-1.06002,-1.24689,0.282961,-0.700096,0.9294,-0.444243,0.822421,-0.293392,1.51155,-1.38098,0.668502,0.303539,0.983223,1.32808,-1.61071,-0.536301,0.670811
F,-0.708878,-0.066362,-1.1616,-1.31651,-0.82305,0.486299,-0.624488,1.40694,0.115098,0.617032,-1.02184,1.03152,-0.223583,0.279092,-0.038461,0.183887,0.859148,-0.665417,0.490026,1.42324
F,-0.951402,-0.816295,-0.399909,-0.446471,-0.884028,0.417348,-0.332788,1.05687,-0.563711,1.09067,0.001639,1.55219,-0.744131,0.877498,-0.731605,0.72676,-0.189659,-0.707457,-0.644268,-0.093625
F,-0.788323,-0.783134,-1.74159,-2.53791,-1.04328,-0.825631,-1.98799,1.01588,-0.067261,0.907641,0.215288,1.20971,0.012271,0.792066,-0.825781,1.09897,0.189444,-1.62734,0.407732,0.95309
F,-0.407664,-0.369369,-1.20655,-3.66349,-1.18657,0.151039,0.043155,1.75803,-0.256759,0.441343,-0.790649,0.927031,-0.96812,-0.313474,-1.3793,1.23613,1.11121,-1.40697,-0.002155,0.955484
F,-1.05026,0.021763,-0.527436,-1.86149,-1.05708,0.123146,0.036463,0.216811,-0.361446,1.03022,0.088124,0.868487,-1.14047,0.781849,0.149353,-0.875485,-0.905176,0.779415,-0.267533,-0.109998
F,-0.692001,0.16038,-0.140789,-0.208297,-0.549997,0.355803,1.32189,0.686197,0.222273,-0.792663,-1.15092,-0.965634,-0.579563,1.70758,-0.705752,1.09896,0.243986,0.980272,0.170431,1.0781
F,-0.612216,0.041811,0.468599,-1.01041,-0.728455,0.095302,0.983679,1.44673,-0.081453,-0.97515,-1.7402,0.100384,0.176834,0.545889,-1.86355,1.58724,0.64981,-0.822898,0.090665,-0.269514
F,-0.967186,-1.0495,0.105281,-0.034325,-0.913241,0.55201,-0.285508,0.963104,-0.165452,0.804045,-0.602249,1.11188,-2.00917,0.711906,-0.015254,0.525987,0.019274,0.113457,-0.573901,-0.773166
F,-0.686497,0.081342,-0.750862,-0.952389,-0.338867,0.695614,-0.096745,0.464888,-0.049133,1.68122,-0.726568,0.957159,-0.701095,0.251491,-0.306749,1.05315,1.11087,-1.25431,-1.18245,-0.016357
F,-1.65309,-0.819163,0.063377,-0.234576,-1.83724,1.88159,1.24028,0.906277,-0.955153,-0.1456,-1.65631,1.09423,-0.648073,1.59438,-1.17079,0.951683,0.982679,-0.078275,-1.13714,0.52452
F,-0.659746,-0.832429,-2.31952,-2.29605,-0.570915,-0.817119,-0.853598,-1.09858,-1.26058,1.13194,0.463572,-0.204898,-1.43402,0.126975,-0.946913,1.16637,0.682984,-1.55388,0.642826,-0.100535
F,-1.6452,-0.091932,0.071696,0.165164,-1.21756,1.7433,1.69367,0.895546,-0.864422,1.03072,-0.697529,1.11589,-0.071088,2.05264,-1.56245,-0.537113,-0.657416,-0.704497,-0.883171,1.05552
T,1.39393,1.33909,0.760898,1.32172,0.547207,-1.00121,0.650447,-1.51859,2.27016,0.170659,0.783044,-0.027105,1.9461,-0.170718,1.66941,-1.31076,-3.14746,1.24441,1.44215,0.462179
F,-0.347112,-2.1303,-0.142293,0.200959,-0.738518,0.29072,-0.274835,1.64226,-1.49576,1.05879,-0.105441,0.923815,-1.1797,1.13525,0.126097,0.45533,0.30661,0.210066,-2.55995,0.295191
F,-0.970712,-0.800751,-0.232203,-0.612437,-0.977785,-0.094371,-0.202959,0.415664,-0.502851,0.923272,0.879838,1.13651,-0.741256,0.46251,0.634039,0.445117,-0.12565,-0.213669,-0.136435,-1.87628
T,1.48753,0.109645,1.31337,1.15909,0.366829,-1.55922,-0.121483,-1.35399,1.27914,-1.42853,0.285083,-1.27672,-0.284576,-1.19041,0.874733,-0.509381,0.102007,0.776609,1.47391,-0.272143
T,0.923745,0.953207,1.04868,0.805346,1.62195,-1.29321,0.319593,-0.171267,0.917024,-0.96937,1.47743,-0.545076,1.61679,-0.344454,1.41252,0.481187,-0.833835,1.57688,-2.6776,1.28126
F,-0.600602,-0.853935,0.08924,0.447727,-1.03132,1.52745,2.3266,1.41426,-0.399639,0.126167,-1.77506,0.248389,0.38354,-0.119256,-0.540821,0.073959,1.81136,0.550988,0.098178,0.727984
F,-0.09786,-0.01211,0.026216,-0.204137,0.43863,-0.834091,-0.216494,-0.868588,0.357574,-0.764693,0.301769,-0.058028,0.824277,-2.02135,0.858329,-0.703259,-0.691518,-0.221598,0.708546,1.18252
F,-0.61041,-0.898644,0.660668,0.522716,-0.636079,0.708197,1.17326,0.86473,-1.04314,-0.411855,-0.935249,0.546118,-0.122161,0.776607,-0.741258,0.795994,1.35101,0.087161,-2.07822,-0.016696
F,-1.84239,-1.31511,-0.261051,0.568904,-1.81962,-0.166675,2.4155,-0.586901,-1.50261,0.930289,-1.03706,0.497749,0.196685,0.448353,0.03238,-0.632449,-0.171361,-0.218954,-1.37138,0.503973
T,1.19715,-0.406948,0.731312,-0.038347,-0.045496,-1.34472,-1.61786,-1.04714,0.984154,-1.04887,1.20801,-0.20562,2.11149,-0.32067,1.13283,-0.092283,-1.39014,1.14892,0.77404,1.775
F,0.70518,0.135997,0.061964,0.646064,1.02057,-0.721404,-0.708121,-0.390316,0.464721,-0.380491,0.768901,-0.620577,1.52619,-1.17226,1.38981,-0.2008,-0.864663,0.630879,-0.858531,0.971036
T,-0.193367,0.939973,1.06366,1.35133,1.77076,0.216881,0.194183,-0.742501,1.91059,-0.298695,1.58199,-0.390914,0.464037,0.454598,1.43652,-0.267506,-2.62615,1.55542,-0.444319,0.631416
T,-0.137593,-1.27574,-0.015205,1.30475,0.0915,-0.355162,0.006701,0.408603,-0.340433,0.475153,-3.12738,0.619135,0.978003,-0.10376,-0.814681,-1.01364,0.910097,-0.761014,-0.057823,-0.272737
F,-0.761555,-0.477421,0.954973,0.786019,-0.605867,-0.033978,1.47715,1.10302,-0.495257,0.713768,-0.997469,0.26629,-0.022909,1.29574,-0.338188,-0.250212,0.961406,-0.079187,-1.13178,-1.19106
F,-0.552491,-0.504203,0.156209,0.455232,-0.502564,0.814943,0.083999,0.61061,0.468867,1.04707,0.295722,1.00531,0.789164,0.299417,0.002858,-0.368524,0.202929,-0.101047,-0.156881,-2.25633
T,0.114126,0.888538,1.39249,1.43728,0.448844,-0.52204,0.120995,-1.8871,1.11417,-0.441505,1.90586,0.281015,1.14845,-0.953051,1.68828,-3.62083,-1.53275,1.24241,0.197501,-0.137294
T,-0.164317,-1.92326,-0.769534,0.247832,-0.937252,1.27111,0.191606,-0.107927,-0.323548,0.62522,0.396271,0.267743,-1.7595,0.614929,0.406752,0.84513,0.635234,1.01067,0.688728,-0.824588
F,0.749598,0.965813,1.12447,0.803454,0.314639,0.531178,0.782236,-0.480854,1.70824,-0.437891,0.662972,-0.773742,0.828841,0.148174,1.29745,-0.830668,-1.22032,1.56852,0.492727,0.161236
F,-0.75391,-0.842043,-0.324529,0.363797,-0.213315,-0.025612,0.394476,-0.726459,0.595536,1.30668,-0.141406,0.490584,-0.70359,0.017456,0.737576,0.536841,-0.927403,1.96535,0.238352,-1.24225
F,0.001145,-1.30552,-1.39987,-0.531232,-0.567127,0.221683,-0.308762,0.19067,-0.005179,1.61455,1.06678,1.24074,-0.368346,0.297445,0.611445,0.876724,0.998497,-0.047245,-0.778654,-1.73485
F,-0.507101,-0.830158,-0.229063,0.357328,-0.556259,-0.208402,1.03369,0.844114,-2.46453,-0.09364,0.500274,0.553416,-0.552425,0.653618,-0.120651,0.867055,1.04945,0.358097,-0.855378,0.488642
T,2.21181,0.056917,-0.118578,0.093008,0.347547,-0.340699,-1.12982,-0.626193,1.92063,0.305967,1.18144,-0.134233,1.85641,-1.08435,1.25762,0.220014,-0.285166,0.596158,1.90862,1.32334
F,-0.212275,-1.61317,-1.33116,0.258445,-1.28944,1.20989,0.473929,1.41968,-0.558186,0.761279,-2.18534,1.01023,0.514603,0.467367,-0.690955,1.18779,1.72346,0.225655,-0.447433,-1.22742
T,0.365677,0.492348,0.696933,0.712104,0.694332,1.08054,0.545995,-0.100459,1.14638,-0.12444,1.06067,-0.445138,0.808096,0.017027,1.04098,0.488277,-1.07563,1.845,-0.283721,0.099543
