class,Attr1868,Attr7089,Attr7113,Attr7119,Attr3454,Attr4141,Attr3252,Attr7085,Attr7092,Attr7067
F,-0.347869,0.117417,-0.53288,1.3423,-0.007329,-0.127817,-0.662931,-0.060525,-0.45466,0.12671
F,-0.377646,-0.21765,-1.24926,1.23351,0.334345,0.531303,-0.91946,-2.39823,-2.30523,-2.99713
F,-0.337536,-0.187717,-0.97233,4.26376,0.265737,-1.11196,-0.571671,1.29426,-1.54117,0.663869
F,-0.334577,-1.26428,-0.252172,-0.866527,1.39562,-1.14138,-0.655169,0.343324,-0.554943,1.30752
F,-0.334156,0.844767,1.00232,0.846107,-1.07576,-0.824558,-0.525202,1.81393,1.1413,1.55866
F,-0.338319,-0.264531,-0.548748,0.793424,1.11365,0.300493,-0.696862,-1.13237,1.42775,-2.20909
F,-0.349978,0.555903,-0.344208,-0.7994,0.988396,-0.791242,-0.573825,0.197951,-0.936817,0.333541
F,-0.322425,-0.390093,0.251122,1.78965,1.2164,-1.39113,-0.626539,0.71451,-0.975619,-0.275976
F,-0.363709,4.03018,1.8289,0.225094,-0.093311,-0.976182,-0.411325,0.204424,0.081048,0.466082
T,-0.361923,-0.039729,-0.776739,-0.875812,1.52306,-1.13391,-0.503443,0.18882,0.086907,-1.29102
T,-0.216295,-0.63685,-0.864381,-0.878809,-0.824431,-0.096404,0.742518,0.766053,-0.004172,-0.047115
T,-0.324336,0.63253,-1.5164,-1.25722,0.414588,3.3298,0.816265,-0.939984,3.86887,-1.31565
T,-0.320814,-1.47355,0.598172,-0.828707,-1.26232,0.189101,2.02431,0.670614,0.633014,0.148249
T,-0.349777,0.716235,0.555129,-0.474099,0.609063,0.925913,-0.554628,0.245845,2.30002,-0.687876
T,0.116612,0.742604,1.444,-1.21168,0.369124,1.34844,1.29628,-0.751289,-0.78025,-0.460672
T,-0.248247,0.653234,0.582694,-0.753319,1.17081,0.135038,2.07794,-0.305278,-1.33827,0.639716
T,-0.336912,0.186508,0.246426,-0.683528,0.83684,0.507089,0.95268,-0.372789,-0.643136,1.64016
T,-0.188527,-0.653273,-0.116885,-1.00662,0.368015,1.10881,1.57582,-0.940882,-0.484303,-1.50041
T,-0.342292,-0.009343,-0.749138,-0.9337,0.310478,-0.145049,0.175134,0.383083,0.695249,-0.92398
T,-0.364516,0.387324,-0.861999,-1.01483,0.7905,-0.373287,0.034248,-0.052775,-0.985488,-0.580827
F,-0.276489,1.70192,1.55017,1.85704,1.19019,-0.157894,-0.521302,0.670152,-1.14358,0.333559
F,-0.329069,1.02371,0.208366,0.818924,1.0065,-0.797569,-0.521593,-1.09428,-0.338635,0.168472
F,0.267462,-1.04319,-1.05975,0.264066,-1.38502,-0.682034,-0.591709,0.649742,0.11117,0.444086
F,0.351739,-0.082141,-0.131128,-0.136485,-0.562962,0.566856,-0.6624,0.450706,1.40408,-0.288503
F,4.65603,-0.564599,0.207519,0.07104,-1.56907,0.990829,-0.395312,0.875232,-1.11171,0.160784
F,-0.168527,0.720908,0.551361,1.39401,-1.43846,-1.17986,-0.727484,-0.467039,-0.005568,0.378359
F,-0.29872,0.223553,-0.422448,-0.573439,0.167637,-0.386103,-0.581599,0.012558,0.712339,0.401284
F,-0.183382,-0.096186,-0.971102,-0.667741,-0.82868,0.002936,-0.645466,0.815614,0.109335,0.16506
F,-0.318024,0.333957,0.361585,-0.433743,0.072164,-0.577429,-0.55863,-1.07159,-0.816062,0.653109
F,-0.360527,-0.536798,-0.811485,0.635816,-0.006397,0.02101,-0.773564,-1.06188,-0.82309,-1.29138
F,-0.379633,1.79545,3.17847,0.681935,-0.404488,0.650731,-0.555319,-2.15872,-0.183973,-0.996159
T,-0.336816,0.132666,-0.633559,-1.19779,0.562532,0.655652,1.31224,-0.721484,1.80952,-0.091412
T,-0.289939,-1.38701,-0.31844,-0.785634,-1.49903,0.124015,0.965867,-0.271647,0.665707,1.00967
T,-0.197796,-1.23292,-0.65649,-1.00756,0.239808,0.58886,0.453253,-0.162341,0.141483,-0.081244
T,-0.279964,0.132555,-0.431934,-1.0384,0.467098,2.2531,0.707383,-0.767192,-0.785608,-1.7202
T,0.669752,-0.215599,-0.327072,-0.628873,0.384319,2.0895,0.065116,0.209999,-1.00574,0.436671
F,2.32653,0.486089,0.408019,-0.14933,0.357379,-0.272868,-0.548593,0.526231,0.667905,1.48792
F,2.2924,0.816415,2.792,0.39862,-0.204634,-1.15235,-0.390714,0.220152,-0.287039,1.75489
T,-0.307321,0.071837,0.398438,-0.645985,-0.44649,-0.65446,1.08111,2.24834,-0.241089,1.45816
T,-0.31629,2.5217,1.65695,-1.07192,-0.445021,1.96083,1.16061,0.50092,-0.689125,1.89174
F,4.71139,0.068737,0.530827,-0.055143,-1.53347,-0.282514,-0.505623,1.9708,0.271648,0.753849
T,3.03934,-0.71361,-0.736642,-0.600282,-0.504106,0.56668,1.29628,1.78641,0.560745,0.999196
T,-0.343667,1.60161,1.42676,-0.639117,-1.24789,0.894057,3.35959,0.166692,0.719855,1.09197
T,-0.336533,-0.578099,-0.375226,-0.557278,0.535946,-0.560424,0.623781,0.148846,-0.642035,-0.279459
T,-0.378047,-0.333354,-0.980957,-0.464798,1.2922,2.64632,2.6497,-0.302079,-0.691003,-0.588043
T,-0.304057,0.532652,1.60161,-0.222865,0.340019,3.08398,0.935854,-1.0376,0.098895,-0.4312
T,-0.323569,-0.642998,-0.584241,-0.439961,0.195231,0.207153,1.40867,0.426853,0.542967,1.78004
T,-0.311924,-1.00783,-0.652861,-0.277806,-1.52274,0.011574,-0.367617,2.00209,-0.79848,0.271529
F,-0.324531,-0.871145,-0.215041,1.18997,-0.061781,0.108668,-0.636863,0.697695,0.223132,0.17659
F,0.55881,-1.91473,-1.30059,0.059749,-1.86984,-0.490565,-0.842437,-0.271799,1.47725,-0.791721
F,0.015466,-1.69402,-0.770783,0.210026,-0.427764,0.220447,-0.826115,-0.790774,0.257783,-1.44275
F,0.047071,-0.880787,-0.692998,0.283006,0.858918,0.090255,-0.531951,1.9827,-0.150579,0.204566
F,-0.086963,0.215894,-0.032184,1.03621,0.352285,-0.09459,-0.681127,0.830415,-0.29887,-0.051102
F,-0.249045,0.091625,0.634807,1.66694,0.532957,-0.664049,-0.610598,-0.189998,-0.953124,0.189701
