class,Attr1868,Attr7089,Attr7113,Attr7119,Attr3454,Attr4141,Attr3252,Attr7085,Attr7092,Attr7067,Attr7040,Attr2402,Attr6219,Attr4279,Attr7059,Attr7046,Attr7051,Attr7095,Attr7055,Attr7030,Attr7036,Attr7037,Attr7053,Attr7060,Attr7038,Attr7042,Attr7048,Attr7021,Attr7101,Attr7102
T,0.116612,0.742604,1.444,-1.21168,0.369124,1.34844,1.29628,-0.751289,-0.78025,-0.460672,0.775628,0.111165,0.516762,0.164423,-0.523104,-0.688991,0.101405,-1.12929,0.894658,-0.128422,0.542191,0.885938,0.362382,-0.692946,1.44079,1.89267,1.68661,-0.000787,0.14342,0.130279
T,-0.248247,0.653234,0.582694,-0.753319,1.17081,0.135038,2.07794,-0.305278,-1.33827,0.639716,-0.34667,1.78356,-0.119753,-0.24033,0.599374,-1.30475,-2.41785,0.12361,1.59849,-0.434961,-0.291864,-0.081723,-0.517429,-0.833746,-0.880862,0.816614,0.645938,-0.692956,-0.747843,-0.674065
T,-0.336912,0.186508,0.246426,-0.683528,0.83684,0.507089,0.95268,-0.372789,-0.643136,1.64016,1.00856,-0.327416,-0.334059,-0.241152,2.20445,-0.051256,1.22485,-0.572906,0.156534,-0.716616,-0.910317,-0.856631,-0.365077,1.53691,1.75337,0.356303,0.465615,1.86423,-0.842662,-1.08737
T,-0.188527,-0.653273,-0.116885,-1.00662,0.368015,1.10881,1.57582,-0.940882,-0.484303,-1.50041,-1.23545,0.664935,-0.330254,-0.33725,-0.811908,-1.49077,-0.84966,-0.199739,-2.88043,1.62579,2.32187,1.66182,-0.98521,-1.58919,-0.534834,1.8286,-0.32658,-1.61605,0.922227,1.19994
T,-0.342292,-0.009343,-0.749138,-0.9337,0.310478,-0.145049,0.175134,0.383083,0.695249,-0.92398,-0.747791,1.06047,-0.095229,-0.229897,-0.567412,-1.32767,-2.04718,0.072557,-2.17188,0.551583,0.925973,1.20698,-1.88844,-0.527365,-0.94004,-0.147765,-0.003834,-0.910011,0.419061,0.783465
T,-0.364516,0.387324,-0.861999,-1.01483,0.7905,-0.373287,0.034248,-0.052775,-0.985488,-0.580827,0.683624,-0.105446,-0.175503,-0.281931,1.14987,0.666098,-0.09719,0.308346,2.00793,-0.713292,-0.721528,-1.07092,0.017972,0.537265,-0.305168,0.690541,-0.403585,-0.169772,-0.035084,-0.212682
F,-0.276489,1.70192,1.55017,1.85704,1.19019,-0.157894,-0.521302,0.670152,-1.14358,0.333559,0.660391,-0.442222,-0.321675,-0.326137,2.46404,0.616035,-1.96133,2.57427,0.202107,-0.190794,0.030628,0.303565,0.553568,0.110829,-0.974788,0.786875,2.01701,-1.59896,1.2268,0.602057
F,-0.329069,1.02371,0.208366,0.818924,1.0065,-0.797569,-0.521593,-1.09428,-0.338635,0.168472,0.115939,-0.395806,-0.350642,-0.327928,0.337441,-0.52795,1.8262,-0.728809,0.544742,1.5185,0.190787,0.398701,1.40521,0.939578,1.97529,1.23286,0.602251,1.83264,2.12592,0.36594
F,0.267462,-1.04319,-1.05975,0.264066,-1.38502,-0.682034,-0.591709,0.649742,0.11117,0.444086,0.283836,-0.4261,-0.242068,-0.258745,-0.792513,2.12978,0.025907,-0.066431,-0.707434,-1.41166,-1.04264,-1.07966,0.747626,-0.344375,-1.39405,-0.823597,-0.395715,0.170628,-0.908841,-1.07866
F,0.351739,-0.082141,-0.131128,-0.136485,-0.562962,0.566856,-0.6624,0.450706,1.40408,-0.288503,-0.098492,-0.495155,-0.231617,-0.151667,-1.0317,0.442579,-0.088718,-0.009635,-0.866379,2.73107,1.18757,1.57185,-0.72321,-0.144479,1.03798,-0.499964,-0.836161,0.399896,1.30761,2.46273
F,4.65603,-0.564599,0.207519,0.07104,-1.56907,0.990829,-0.395312,0.875232,-1.11171,0.160784,0.987572,-0.174286,0.903259,0.312457,0.122635,1.25765,0.218634,0.839879,0.832718,-1.42634,-0.877636,-0.879128,-0.599653,-0.056199,-0.773778,0.559861,0.269049,0.580515,-1.10368,-0.740448
F,-0.168527,0.720908,0.551361,1.39401,-1.43846,-1.17986,-0.727484,-0.467039,-0.005568,0.378359,-0.233217,-0.485578,-0.315792,-0.253926,-0.366028,0.239942,0.446781,0.911342,0.584446,0.527406,-0.113343,-0.101398,0.444064,-0.439089,-0.428613,-0.460744,-0.308063,-0.246493,0.750555,1.30068
F,-0.29872,0.223553,-0.422448,-0.573439,0.167637,-0.386103,-0.581599,0.012558,0.712339,0.401284,0.394933,-0.433819,-0.289809,-0.242264,-0.319009,-0.109382,0.799204,3.47433,-0.510297,-0.577378,-0.07854,-0.172581,0.500531,0.874124,-0.605016,-0.857249,-0.318099,-0.096292,-0.346185,0.611969
F,-0.183382,-0.096186,-0.971102,-0.667741,-0.82868,0.002936,-0.645466,0.815614,0.109335,0.16506,0.412753,-0.515714,-0.267182,-0.204532,-1.13869,1.29729,-0.332154,4.92228,0.608559,1.2431,0.276034,0.415034,0.268792,0.186232,-0.888338,-0.677606,-1.00721,-0.597131,2.67616,2.26854
F,-0.318024,0.333957,0.361585,-0.433743,0.072164,-0.577429,-0.55863,-1.07159,-0.816062,0.653109,0.729383,-0.402857,-0.292368,-0.229029,0.054107,0.760772,0.941854,-0.285149,0.676348,-0.687588,0.18633,0.091824,0.997507,-0.146761,-0.381675,-0.333395,-0.424486,-0.114203,-0.228033,-0.254209
F,-0.360527,-0.536798,-0.811485,0.635816,-0.006397,0.02101,-0.773564,-1.06188,-0.82309,-1.29138,-1.69931,-0.518183,-0.335167,-0.334038,-0.520448,-1.34767,0.222177,0.057273,-0.658988,1.12023,0.377571,0.899787,-1.58584,-2.11726,-0.851242,-0.762912,-1.06275,-1.00699,0.842143,0.805071
F,-0.379633,1.79545,3.17847,0.681935,-0.404488,0.650731,-0.555319,-2.15872,-0.183973,-0.996159,0.647437,-0.515438,-0.372446,-0.311238,2.66086,-0.772358,1.57503,-0.768931,0.370328,-0.21491,-0.715586,-0.662738,1.29528,-0.662411,0.53091,0.567304,1.89717,1.32359,0.787762,-0.422374
T,-0.336816,0.132666,-0.633559,-1.19779,0.562532,0.655652,1.31224,-0.721484,1.80952,-0.091412,0.465013,1.33851,-0.288205,0.025997,-0.088664,-0.372553,-1.14903,-0.236132,0.644065,0.80459,1.39052,1.36504,-0.813707,-0.072179,-1.75771,0.29914,0.296901,-1.08734,0.611605,1.28393
T,-0.289939,-1.38701,-0.31844,-0.785634,-1.49903,0.124015,0.965867,-0.271647,0.665707,1.00967,1.75662,2.33964,0.839142,1.60468,0.450886,1.10015,-0.115891,0.778553,-2.59882,-0.219258,-0.405607,-0.296072,-0.783855,0.32408,1.11932,1.46032,1.02774,-1.02852,-1.09638,-0.123823
T,-0.197796,-1.23292,-0.65649,-1.00756,0.239808,0.58886,0.453253,-0.162341,0.141483,-0.081244,0.59716,-0.275215,-0.312209,-0.250435,-0.272913,-0.665425,1.19226,-0.660528,-0.28549,0.275703,-0.625932,-0.610064,-0.297599,0.807469,0.398126,-1.43782,-0.996554,0.72953,-0.545092,-1.32688
T,-0.279964,0.132555,-0.431934,-1.0384,0.467098,2.2531,0.707383,-0.767192,-0.785608,-1.7202,-0.945087,1.67774,1.89197,-0.146059,0.148536,-0.47242,-1.57506,-0.701453,0.102568,0.426293,-0.080959,-0.123412,-0.399873,-0.768053,-0.684993,0.86966,0.475392,-0.099827,0.364166,0.272794
T,0.669752,-0.215599,-0.327072,-0.628873,0.384319,2.0895,0.065116,0.209999,-1.00574,0.436671,-1.2164,1.96013,2.5785,2.30648,-0.453015,-0.917472,0.473757,-0.333763,-0.592863,-0.240315,-0.658168,-0.812476,-0.636417,-0.786925,-0.423185,-1.08656,-1.18857,1.14395,-0.98242,-0.589326
F,2.32653,0.486089,0.408019,-0.14933,0.357379,-0.272868,-0.548593,0.526231,0.667905,1.48792,-0.409627,-0.238912,0.137246,0.084549,0.940236,0.943946,0.725702,-0.772568,-1.32281,-1.39125,-0.674401,-0.607461,1.75168,1.06876,0.372919,-0.641606,0.172328,1.61823,-1.28981,-1.14455
F,2.2924,0.816415,2.792,0.39862,-0.204634,-1.15235,-0.390714,0.220152,-0.287039,1.75489,1.0511,-0.401106,-0.194918,-0.166747,2.56407,-0.996112,-0.777195,-0.593643,1.28254,-0.825598,-0.602547,-0.387854,1.83708,0.785053,-0.686381,0.129462,0.819095,-0.667186,-1.0074,-0.581556
T,-0.307321,0.071837,0.398438,-0.645985,-0.44649,-0.65446,1.08111,2.24834,-0.241089,1.45816,1.48798,4.35139,2.21978,2.58008,0.121096,-0.510369,0.39638,-0.248384,-0.808112,-1.52766,-1.06377,-1.04146,0.107562,0.890336,-0.366396,-0.569964,-0.224943,0.617106,-1.71962,-1.37103
T,-0.31629,2.5217,1.65695,-1.07192,-0.445021,1.96083,1.16061,0.50092,-0.689125,1.89174,-1.14031,-0.139207,0.047808,-0.062445,2.13951,-1.16507,-1.56623,0.020552,-1.70657,0.443706,-0.298778,-0.273199,-1.24707,1.59523,-0.588373,-0.283705,1.34791,1.26003,0.372866,0.546918
F,4.71139,0.068737,0.530827,-0.055143,-1.53347,-0.282514,-0.505623,1.9708,0.271648,0.753849,2.12058,-0.104174,0.72484,0.812452,0.238053,1.09793,0.344304,-0.00253,-0.52837,1.07123,1.37569,1.18122,0.424961,0.948706,-0.461429,-0.563185,-0.677775,1.25783,2.30326,2.06066
T,3.03934,-0.71361,-0.736642,-0.600282,-0.504106,0.56668,1.29628,1.78641,0.560745,0.999196,0.272946,3.53274,6.76535,7.12353,-0.463762,1.1701,-0.293098,-0.579199,-0.669937,-1.50693,-1.26808,-1.28159,0.745657,0.619623,-1.11113,-1.35428,0.123028,0.573303,-0.838895,-1.09909
T,-0.343667,1.60161,1.42676,-0.639117,-1.24789,0.894057,3.35959,0.166692,0.719855,1.09197,-0.049274,-0.160783,0.203947,0.476587,-0.581217,-0.358864,-0.034564,1.66631,0.566858,-0.111971,-0.204448,-0.242797,0.40665,0.774595,0.403124,-1.18034,0.722007,0.449277,1.11824,-0.334394
T,-0.336533,-0.578099,-0.375226,-0.557278,0.535946,-0.560424,0.623781,0.148846,-0.642035,-0.279459,0.111187,-0.358538,-0.329186,-0.159194,0.248763,-0.836191,-0.570782,-0.780932,-0.016532,0.316648,-0.551615,-0.83929,0.201429,0.074002,-0.633782,-0.775241,-0.426208,0.580617,-0.379563,-0.282043
T,-0.378047,-0.333354,-0.980957,-0.464798,1.2922,2.64632,2.6497,-0.302079,-0.691003,-0.588043,-1.3636,-0.192165,0.008444,-0.363881,-0.64661,-1.05114,-2.21732,-0.300054,0.665258,0.267595,-0.096676,0.038259,-0.292885,-0.692212,-0.054044,-0.709313,0.025317,-1.01092,0.235403,0.304804
T,-0.304057,0.532652,1.60161,-0.222865,0.340019,3.08398,0.935854,-1.0376,0.098895,-0.4312,0.2259,-0.107442,-0.380579,-0.103784,1.36701,-2.33261,0.398516,-1.04377,2.35632,0.1368,-0.603588,-0.362299,1.04249,-0.251616,1.22382,-0.188309,1.611,0.890029,0.643762,-0.875373
T,-0.323569,-0.642998,-0.584241,-0.439961,0.195231,0.207153,1.40867,0.426853,0.542967,1.78004,0.602319,0.255384,0.191643,0.274809,0.978734,-0.754436,0.444757,-0.279724,0.836496,0.017571,-0.455942,-0.246068,1.55273,1.23287,0.500239,-0.427422,0.982327,1.69819,0.270081,-0.069141
T,-0.311924,-1.00783,-0.652861,-0.277806,-1.52274,0.011574,-0.367617,2.00209,-0.79848,0.271529,-0.033969,-0.475139,-0.309727,-0.237211,0.50373,0.675162,0.149676,-0.624071,-0.033058,-0.685915,-0.59271,-0.552398,0.116039,1.24048,-1.07957,-0.84299,-1.00669,1.0037,-0.506304,-0.470625
F,-0.324531,-0.871145,-0.215041,1.18997,-0.061781,0.108668,-0.636863,0.697695,0.223132,0.17659,0.492318,-0.465171,-0.309744,-0.275594,-0.315357,0.541081,0.260625,-0.520596,0.510485,0.532922,3.38176,3.41049,-0.763419,-0.510442,0.015625,-0.989783,-0.601208,0.401179,0.533203,0.472003
F,0.55881,-1.91473,-1.30059,0.059749,-1.86984,-0.490565,-0.842437,-0.271799,1.47725,-0.791721,-1.16788,-0.477064,-0.401226,-0.344459,-1.84585,-0.868661,0.337692,0.250368,0.397455,0.308754,0.651261,0.654316,-1.07673,-1.15283,1.03668,-0.905536,-1.05815,-1.44227,0.32909,0.090061
F,0.015466,-1.69402,-0.770783,0.210026,-0.427764,0.220447,-0.826115,-0.790774,0.257783,-1.44275,-1.18686,-0.53183,-0.360471,-0.310568,-1.44003,0.510163,0.255617,-0.269295,-1.82183,1.10902,2.0955,2.03399,-2.14875,-1.42786,-0.010582,-0.764152,-1.4458,-1.02657,0.431873,0.99433
F,0.047071,-0.880787,-0.692998,0.283006,0.858918,0.090255,-0.531951,1.9827,-0.150579,0.204566,0.436296,-0.417602,-0.263171,-0.23121,-0.492684,1.39005,0.895299,1.08453,-0.088236,-1.51485,-1.0895,-0.997733,-0.485594,0.301192,-1.23238,-0.131675,-0.033526,1.26327,-1.29829,-0.958424
F,-0.086963,0.215894,-0.032184,1.03621,0.352285,-0.09459,-0.681127,0.830415,-0.29887,-0.051102,0.95247,-0.441121,-0.33724,-0.270796,-0.182835,1.79961,0.702358,-0.141192,0.506456,1.84887,2.33435,2.1765,-0.024871,0.317399,1.38857,0.08097,-0.033126,-0.280488,1.59619,1.74799
F,-0.249045,0.091625,0.634807,1.66694,0.532957,-0.664049,-0.610598,-0.189998,-0.953124,0.189701,0.222444,-0.527748,-0.331861,-0.30112,0.541866,0.24654,0.252812,-0.217586,-0.351953,0.339236,0.211429,0.485965,0.381054,-0.54471,-0.532476,-0.294099,-0.677946,-0.397547,0.051735,-0.340944
