@relation pca_all-weka.filters.unsupervised.attribute.Remove-R59-72-weka.filters.unsupervised.attribute.Remove-R49-58-weka.filters.unsupervised.attribute.Remove-R41-48-weka.filters.unsupervised.attribute.Remove-R33-40-weka.filters.unsupervised.attribute.Remove-R27-32-weka.filters.unsupervised.attribute.Remove-R21-26-weka.filters.unsupervised.attribute.Remove-R17-20-weka.filters.unsupervised.attribute.Remove-R13-16-weka.filters.unsupervised.attribute.Remove-R10-12-weka.filters.unsupervised.attribute.Remove-R8-9

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute class {T,F}

@data
41.091132,-24.401458,-0.603342,8.243334,10.445154,7.773102,13.92143,T
17.631412,-35.00963,-8.376996,5.821209,-0.909286,-12.066553,-12.267737,T
17.460853,-32.260551,-3.23005,1.502741,5.076762,-17.839926,-0.605245,T
32.949954,-35.364266,1.575836,1.274533,3.893487,-2.231754,-8.428932,T
25.735075,-28.245296,-5.893429,-7.648239,8.809214,6.968251,0.23478,T
-70.494323,-25.898389,-24.663867,-7.764515,4.581894,10.596172,-0.811789,T
7.093361,67.824329,-31.866844,5.859334,21.147766,-24.45465,-16.089754,T
-12.331787,19.799794,34.793547,0.688731,-12.221501,-8.211558,7.116527,F
29.780833,13.451666,20.854337,4.898795,-3.638796,2.515051,14.030385,F
20.670826,-25.366837,28.235682,-26.948645,-13.877052,-12.823467,-1.588696,F
-38.087079,28.280029,26.275763,4.5787,3.622596,24.842884,-3.796028,F
-7.901117,-16.460405,8.047542,-23.391861,-0.379069,-17.5541,-9.223987,F
47.586553,-11.384305,-5.761676,-2.889886,3.96489,-12.860675,-4.407401,T
44.503476,10.876756,-18.343513,-2.61397,16.737789,-3.359047,-13.452763,T
62.946047,-15.450215,4.777344,-9.40248,3.499585,-10.163268,0.64497,F
62.293043,22.525775,0.194228,-12.973092,27.992483,-12.085045,-12.29562,F
58.161959,-23.188565,-6.851167,-6.412953,8.071614,-7.814978,-0.937195,T
53.536066,-21.306333,5.309716,-13.950961,3.539037,-11.501539,7.590857,F
22.828832,19.70869,0.61473,-5.614947,26.46764,-15.915239,2.298328,F
6.054805,2.439191,14.771581,-45.749137,-8.623817,4.176311,-4.726431,F
-48.1194,26.292108,23.05554,-41.308622,-6.08111,-14.281462,-12.137101,F
6.445228,66.285901,-24.64423,-63.022244,-6.824021,50.533087,5.790223,F
23.116252,0.240538,11.894948,-8.837924,-5.061726,-2.569143,-0.646115,F
45.96434,-42.777536,7.157666,4.62046,-5.151576,3.003561,14.129195,F
2.071095,-23.951027,14.390259,3.397307,5.40826,12.207933,1.221305,T
-65.438101,-37.628583,-12.128694,-8.110328,0.485723,-13.17629,15.553818,T
-70.598431,-33.387549,0.75502,2.289291,15.016045,2.448117,-12.743471,T
43.03425,-24.750892,3.699008,5.748962,-4.126654,-5.172691,-2.831428,T
9.281459,-15.819745,7.917599,8.230658,9.829703,6.682264,-9.187751,T
-16.291009,-8.083909,0.521733,8.351926,21.333948,15.046699,-14.177052,T
