@relation pca_all-weka.filters.unsupervised.attribute.Remove-R59-72-weka.filters.unsupervised.attribute.Remove-R49-58-weka.filters.unsupervised.attribute.Remove-R41-48-weka.filters.unsupervised.attribute.Remove-R33-40-weka.filters.unsupervised.attribute.Remove-R27-32-weka.filters.unsupervised.attribute.Remove-R21-26-weka.filters.unsupervised.attribute.Remove-R17-20-weka.filters.unsupervised.attribute.Remove-R13-16-weka.filters.unsupervised.attribute.Remove-R10-12

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute class {T,F}

@data
1.822974,17.379247,14.585715,-1.586306,-20.888238,-10.778375,0.303221,9.605113,4.642756,F
-27.486447,32.451663,16.137615,3.683066,-3.30994,-7.420239,-4.146506,7.53764,-6.388894,F
-38.009775,64.934248,39.425706,20.923642,24.446055,7.595489,-3.702436,13.783021,-5.309488,F
-8.130109,26.828994,8.858601,-14.705546,-6.014544,14.045444,-5.084441,-7.996076,-10.047792,F
53.75313,23.137533,-7.728318,-8.551957,-8.457117,16.039751,9.340912,-0.06525,-7.032837,F
-47.064656,18.50657,50.905084,-13.135989,-1.091596,-10.640497,-20.975507,0.370827,-0.471043,F
-21.124642,18.62561,47.76573,17.939398,1.626628,8.417602,20.251085,18.050484,7.223371,F
5.90799,22.337015,21.133901,27.598427,15.826615,25.507679,23.649172,-0.965022,-7.946313,F
29.300846,13.955967,-10.6763,8.881501,18.279737,1.149033,-31.016045,-0.828927,-13.468048,T
34.906318,23.414346,-21.718633,-20.709105,-24.022083,24.063331,11.828233,14.102176,5.827598,T
16.877311,-41.349489,-12.17767,-2.247148,-9.899826,-3.143198,3.435378,5.808486,-0.573176,T
-2.759627,-10.719815,8.153464,17.753399,28.680462,8.999987,21.386688,7.119139,-0.24323,T
41.091132,-24.401458,-0.603342,8.243334,10.445154,7.773102,13.92143,15.140695,-5.556131,T
17.631412,-35.00963,-8.376996,5.821209,-0.909286,-12.066553,-12.267737,23.813006,-22.550871,T
17.460853,-32.260551,-3.23005,1.502741,5.076762,-17.839926,-0.605245,34.918179,-22.021078,T
32.949954,-35.364266,1.575836,1.274533,3.893487,-2.231754,-8.428932,12.631449,-5.328757,T
25.735075,-28.245296,-5.893429,-7.648239,8.809214,6.968251,0.23478,-3.609915,-4.787608,T
-70.494323,-25.898389,-24.663867,-7.764515,4.581894,10.596172,-0.811789,8.955184,4.656591,T
7.093361,67.824329,-31.866844,5.859334,21.147766,-24.45465,-16.089754,-3.781979,32.902743,T
-12.331787,19.799794,34.793547,0.688731,-12.221501,-8.211558,7.116527,10.450527,3.059965,F
29.780833,13.451666,20.854337,4.898795,-3.638796,2.515051,14.030385,3.841767,0.493573,F
20.670826,-25.366837,28.235682,-26.948645,-13.877052,-12.823467,-1.588696,-2.400608,16.407342,F
-38.087079,28.280029,26.275763,4.5787,3.622596,24.842884,-3.796028,-11.242473,-9.235993,F
-7.901117,-16.460405,8.047542,-23.391861,-0.379069,-17.5541,-9.223987,-4.293076,-7.829296,F
47.586553,-11.384305,-5.761676,-2.889886,3.96489,-12.860675,-4.407401,-2.36388,-1.796074,T
44.503476,10.876756,-18.343513,-2.61397,16.737789,-3.359047,-13.452763,-1.303591,-11.575577,T
62.946047,-15.450215,4.777344,-9.40248,3.499585,-10.163268,0.64497,-5.920035,-8.465331,F
62.293043,22.525775,0.194228,-12.973092,27.992483,-12.085045,-12.29562,-9.092062,-4.617137,F
58.161959,-23.188565,-6.851167,-6.412953,8.071614,-7.814978,-0.937195,5.286159,-6.130481,T
53.536066,-21.306333,5.309716,-13.950961,3.539037,-11.501539,7.590857,-5.390141,-1.004365,F
22.828832,19.70869,0.61473,-5.614947,26.46764,-15.915239,2.298328,-16.419083,1.420108,F
6.054805,2.439191,14.771581,-45.749137,-8.623817,4.176311,-4.726431,-0.8708,11.134036,F
-48.1194,26.292108,23.05554,-41.308622,-6.08111,-14.281462,-12.137101,4.634076,13.659738,F
6.445228,66.285901,-24.64423,-63.022244,-6.824021,50.533087,5.790223,-7.044035,-19.99172,F
23.116252,0.240538,11.894948,-8.837924,-5.061726,-2.569143,-0.646115,-5.472383,7.954619,F
45.96434,-42.777536,7.157666,4.62046,-5.151576,3.003561,14.129195,-8.77089,2.365886,F
2.071095,-23.951027,14.390259,3.397307,5.40826,12.207933,1.221305,-15.837997,-0.046895,T
-65.438101,-37.628583,-12.128694,-8.110328,0.485723,-13.17629,15.553818,11.337318,11.779522,T
-70.598431,-33.387549,0.75502,2.289291,15.016045,2.448117,-12.743471,7.574802,-3.210585,T
43.03425,-24.750892,3.699008,5.748962,-4.126654,-5.172691,-2.831428,7.231839,2.506277,T
9.281459,-15.819745,7.917599,8.230658,9.829703,6.682264,-9.187751,-9.690975,-0.66097,T
-16.291009,-8.083909,0.521733,8.351926,21.333948,15.046699,-14.177052,-19.335984,1.097802,T
