@relation pca_all-weka.filters.unsupervised.attribute.Remove-R59-72-weka.filters.unsupervised.attribute.Remove-R49-58-weka.filters.unsupervised.attribute.Remove-R41-48-weka.filters.unsupervised.attribute.Remove-R33-40-weka.filters.unsupervised.attribute.Remove-R27-32-weka.filters.unsupervised.attribute.Remove-R21-26-weka.filters.unsupervised.attribute.Remove-R17-20

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute class {T,F}

@data
-38.009775,64.934248,39.425706,20.923642,24.446055,7.595489,-3.702436,13.783021,-5.309488,16.682872,-9.869498,3.325047,9.43322,13.917909,-21.015373,-6.887582,F
-8.130109,26.828994,8.858601,-14.705546,-6.014544,14.045444,-5.084441,-7.996076,-10.047792,-8.669471,-8.000385,9.267064,10.775969,2.608921,-1.936502,-14.786573,F
53.75313,23.137533,-7.728318,-8.551957,-8.457117,16.039751,9.340912,-0.06525,-7.032837,4.8772,-7.095098,-3.073367,0.277848,3.489716,3.842449,-15.512601,F
-47.064656,18.50657,50.905084,-13.135989,-1.091596,-10.640497,-20.975507,0.370827,-0.471043,4.523443,-3.309154,0.739749,-3.691259,12.040573,15.648227,16.40235,F
-21.124642,18.62561,47.76573,17.939398,1.626628,8.417602,20.251085,18.050484,7.223371,15.831189,2.286917,-12.974742,4.732013,1.045159,-8.93889,10.797524,F
5.90799,22.337015,21.133901,27.598427,15.826615,25.507679,23.649172,-0.965022,-7.946313,15.846565,0.869013,-7.24637,10.052877,2.683965,0.840765,1.819075,F
29.300846,13.955967,-10.6763,8.881501,18.279737,1.149033,-31.016045,-0.828927,-13.468048,-10.959049,-5.214095,3.282638,-2.282059,-5.403756,15.790049,7.038825,T
34.906318,23.414346,-21.718633,-20.709105,-24.022083,24.063331,11.828233,14.102176,5.827598,-11.072408,-22.951108,-8.687701,-9.797674,13.859041,14.572033,-33.73234,T
16.877311,-41.349489,-12.17767,-2.247148,-9.899826,-3.143198,3.435378,5.808486,-0.573176,5.345125,9.537314,6.715916,7.100566,2.854918,2.041189,4.796311,T
-2.759627,-10.719815,8.153464,17.753399,28.680462,8.999987,21.386688,7.119139,-0.24323,-3.501983,8.370939,-34.028674,-11.605988,6.057348,4.794812,-8.005182,T
41.091132,-24.401458,-0.603342,8.243334,10.445154,7.773102,13.92143,15.140695,-5.556131,17.643896,3.884699,-18.123103,-3.969783,3.853931,5.105989,6.870301,T
17.631412,-35.00963,-8.376996,5.821209,-0.909286,-12.066553,-12.267737,23.813006,-22.550871,-18.149808,-17.95076,-12.047583,15.628329,-3.373663,2.269402,17.88233,T
17.460853,-32.260551,-3.23005,1.502741,5.076762,-17.839926,-0.605245,34.918179,-22.021078,-37.149096,-25.551979,-10.410463,25.200532,-0.829159,-0.707035,6.679112,T
32.949954,-35.364266,1.575836,1.274533,3.893487,-2.231754,-8.428932,12.631449,-5.328757,-5.26582,10.619584,-2.596162,-6.810965,-2.252945,1.407868,0.051172,T
25.735075,-28.245296,-5.893429,-7.648239,8.809214,6.968251,0.23478,-3.609915,-4.787608,12.117945,-6.496662,2.252155,3.163542,0.724572,-2.203163,-0.914726,T
-70.494323,-25.898389,-24.663867,-7.764515,4.581894,10.596172,-0.811789,8.955184,4.656591,3.718829,2.635999,-11.513645,-4.345983,29.628665,-10.203534,8.940878,T
7.093361,67.824329,-31.866844,5.859334,21.147766,-24.45465,-16.089754,-3.781979,32.902743,-7.487798,3.591544,-11.071391,16.087853,5.604713,-8.39479,0.851003,T
-12.331787,19.799794,34.793547,0.688731,-12.221501,-8.211558,7.116527,10.450527,3.059965,-7.298766,7.90369,15.498927,5.340427,-6.652252,-4.066381,7.476225,F
29.780833,13.451666,20.854337,4.898795,-3.638796,2.515051,14.030385,3.841767,0.493573,-6.423409,7.168437,12.338583,6.250292,-2.45109,-4.64865,1.048637,F
20.670826,-25.366837,28.235682,-26.948645,-13.877052,-12.823467,-1.588696,-2.400608,16.407342,3.729131,-16.407273,-4.843928,-5.034005,-7.128304,-5.467434,-1.328429,F
-38.087079,28.280029,26.275763,4.5787,3.622596,24.842884,-3.796028,-11.242473,-9.235993,-4.859631,5.609626,23.443457,7.777423,6.933236,17.150487,17.633496,F
-7.901117,-16.460405,8.047542,-23.391861,-0.379069,-17.5541,-9.223987,-4.293076,-7.829296,26.885261,-4.163277,6.643886,23.742133,3.534277,13.164713,-5.42893,F
47.586553,-11.384305,-5.761676,-2.889886,3.96489,-12.860675,-4.407401,-2.36388,-1.796074,10.07874,10.245248,3.679035,8.95376,-1.335479,-2.838279,-5.344749,T
44.503476,10.876756,-18.343513,-2.61397,16.737789,-3.359047,-13.452763,-1.303591,-11.575577,12.512623,-2.853387,4.128734,1.276509,-0.027242,-3.285669,-0.781996,T
62.946047,-15.450215,4.777344,-9.40248,3.499585,-10.163268,0.64497,-5.920035,-8.465331,7.645077,-0.357706,9.365641,7.10596,0.558625,0.164442,-3.448211,F
62.293043,22.525775,0.194228,-12.973092,27.992483,-12.085045,-12.29562,-9.092062,-4.617137,22.379067,1.74217,-2.04819,-1.112579,-7.0208,20.298844,-2.580179,F
58.161959,-23.188565,-6.851167,-6.412953,8.071614,-7.814978,-0.937195,5.286159,-6.130481,8.108885,16.473326,-6.367371,-15.941154,-0.250907,-2.01657,11.878581,T
53.536066,-21.306333,5.309716,-13.950961,3.539037,-11.501539,7.590857,-5.390141,-1.004365,16.24609,6.860989,2.454357,1.951499,-1.333995,0.145529,2.456191,F
22.828832,19.70869,0.61473,-5.614947,26.46764,-15.915239,2.298328,-16.419083,1.420108,-12.155968,10.049366,1.909291,7.950603,-5.693718,12.269281,-6.811218,F
6.054805,2.439191,14.771581,-45.749137,-8.623817,4.176311,-4.726431,-0.8708,11.134036,5.813119,-6.573576,-9.701497,-19.107474,-11.901008,-10.113599,15.999654,F
-48.1194,26.292108,23.05554,-41.308622,-6.08111,-14.281462,-12.137101,4.634076,13.659738,13.13688,-18.258785,-9.61491,-12.028763,-0.773534,-3.897042,5.423117,F
6.445228,66.285901,-24.64423,-63.022244,-6.824021,50.533087,5.790223,-7.044035,-19.99172,-15.498597,26.720052,-19.365935,20.046579,-7.720231,-9.63305,11.185185,F
23.116252,0.240538,11.894948,-8.837924,-5.061726,-2.569143,-0.646115,-5.472383,7.954619,-9.087476,-11.047226,4.773437,-0.264588,-6.921393,-5.753399,-15.165376,F
45.96434,-42.777536,7.157666,4.62046,-5.151576,3.003561,14.129195,-8.77089,2.365886,7.403883,0.949934,-5.082114,4.358589,-1.880018,2.442439,-3.77432,F
2.071095,-23.951027,14.390259,3.397307,5.40826,12.207933,1.221305,-15.837997,-0.046895,-9.511885,5.544905,7.044762,-13.681161,-15.374718,-0.11696,0.760504,T
-65.438101,-37.628583,-12.128694,-8.110328,0.485723,-13.17629,15.553818,11.337318,11.779522,-9.791707,24.529977,1.244646,-0.116171,3.823407,13.875637,-9.455595,T
-70.598431,-33.387549,0.75502,2.289291,15.016045,2.448117,-12.743471,7.574802,-3.210585,-7.034659,11.419438,-0.899349,-8.042589,2.529067,3.758834,-13.989465,T
43.03425,-24.750892,3.699008,5.748962,-4.126654,-5.172691,-2.831428,7.231839,2.506277,-1.936812,-0.482464,0.566727,-2.124077,-5.934159,-3.614151,-1.803972,T
9.281459,-15.819745,7.917599,8.230658,9.829703,6.682264,-9.187751,-9.690975,-0.66097,-16.329259,5.45604,3.803415,-12.545122,-9.746466,-6.871326,-3.485814,T
-16.291009,-8.083909,0.521733,8.351926,21.333948,15.046699,-14.177052,-19.335984,1.097802,-16.194046,0.856402,4.727645,-13.609569,0.250303,2.509817,2.90136,T
