@relation pca_all-weka.filters.unsupervised.attribute.Remove-R59-72-weka.filters.unsupervised.attribute.Remove-R49-58-weka.filters.unsupervised.attribute.Remove-R41-48-weka.filters.unsupervised.attribute.Remove-R33-40-weka.filters.unsupervised.attribute.Remove-R27-32

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute PC21 numeric
@attribute PC22 numeric
@attribute PC23 numeric
@attribute PC24 numeric
@attribute PC25 numeric
@attribute PC26 numeric
@attribute class {T,F}

@data
-16.103262,-11.587596,0.921908,26.219872,-17.60669,6.3885,0.5591,-27.614464,-7.633432,-4.93356,-1.653423,-2.105441,4.213477,0.819632,4.341796,4.338813,0.649943,-1.245571,-3.340288,-7.078541,-1.907149,3.887179,-2.614966,-5.968033,5.960666,-5.157116,T
49.285642,-14.32605,9.000534,5.614296,-10.342733,-1.800876,4.380691,6.535437,5.345097,-7.930895,0.72287,2.982565,-8.119196,-0.530373,-4.96347,-1.55743,-0.161126,4.041001,3.336744,-1.625173,1.14562,-3.052283,8.624248,-6.642274,0.163468,2.954339,T
-46.530343,-32.624416,-19.006949,-5.281121,11.347907,6.198598,-10.523685,3.114585,-3.81201,-0.04467,6.304027,-5.141015,-8.747808,21.136541,-2.709597,7.689403,12.04574,18.58742,-7.178555,-7.997919,-0.118066,-3.185526,6.301944,0.504985,-2.59041,1.826676,T
-20.87769,-5.661686,-8.727679,1.818918,-23.845759,1.024205,5.522646,-10.625692,-3.422427,10.236342,1.697532,-5.189451,-9.21353,-3.496458,-4.57221,-5.177992,-8.632211,-19.606173,9.20103,-15.752693,-17.071741,-11.516301,3.568013,1.710682,-9.422368,3.092103,T
-52.024658,-37.923493,-14.242696,0.331399,-13.897522,-1.325841,-2.759652,12.037436,0.078484,4.72611,11.959425,10.925733,-3.227662,2.728531,-2.955256,2.336943,-10.486222,-4.03461,8.218964,2.709477,1.730295,-1.141515,-0.204461,7.180994,0.552083,7.100139,T
-16.353107,-6.846774,-16.119321,-1.801819,4.603239,0.205135,-11.311467,-3.028824,3.825301,1.925168,-1.893176,6.446227,0.817696,-3.66445,-13.912475,-2.300846,-11.861438,2.86415,0.467455,-3.825432,1.141524,1.529401,-12.627653,7.828079,-1.392823,-3.799957,T
-77.575593,34.441319,-36.143252,-17.341274,19.842083,-44.763029,58.002127,-19.274671,-38.960234,-1.320821,-17.179728,14.469222,-18.411588,1.533259,-9.371391,6.165509,-3.026796,3.983019,6.413509,6.812232,4.683597,5.791236,-0.536675,0.170084,-3.056291,3.511846,T
22.598739,-12.354476,-2.643486,-0.516779,8.06632,-7.774851,-12.737842,-11.637573,3.051526,7.69178,-2.660707,4.077142,0.882464,9.909092,-4.776887,-3.511752,-9.625427,-1.590952,8.678886,-7.628035,5.008175,-2.314657,-7.114276,7.68798,3.839479,-2.828398,T
9.922181,-18.577167,-4.520975,0.712305,8.908771,10.024264,-1.263845,4.257466,1.343612,3.916514,-1.019519,-4.020143,-1.953428,-0.96413,-12.18258,-6.684478,-5.166557,7.880376,2.484711,-6.057484,1.638015,0.538101,-7.654372,0.68714,-2.27248,-1.077969,T
-137.129052,-37.191305,-32.369561,0.807861,25.219469,17.711336,7.256569,6.491804,25.405618,13.950392,-11.375296,-0.59508,22.246684,-46.788871,4.934348,0.5701,5.351415,13.737643,15.880581,-2.186589,1.685264,5.795955,9.213702,1.808715,7.383985,-1.492784,T
29.254453,-43.512419,-16.173872,2.47426,-3.901441,26.352409,18.081659,-24.619769,30.100546,-6.01815,-34.511612,16.079181,8.779656,18.312319,-4.023688,22.469917,14.536743,-10.916784,3.597535,16.870979,3.487919,-19.350825,-5.960906,-9.70422,-7.382651,-10.843371,T
35.18108,5.223449,0.596516,16.885594,4.515005,14.65184,-7.183475,-1.176913,4.328262,-7.879389,-4.50993,14.088835,-9.521272,-0.039236,3.289792,9.869353,-4.091955,-2.030197,3.379904,-5.324204,-0.227498,3.571899,9.873893,-5.6021,13.932188,4.493444,T
42.242749,7.905758,-11.855416,18.220853,-23.09841,0.581021,2.498872,-9.568478,-0.490708,-0.773169,1.838303,-2.208364,-1.933912,-6.241119,-4.81664,8.624844,0.745767,5.430773,-2.45466,-2.533167,3.227283,6.80269,6.288278,-0.981267,6.161886,11.681452,T
-33.589391,-8.113655,-24.490896,-4.84506,-11.824835,12.635774,-2.868273,3.554403,-5.862957,4.517058,5.613551,23.759028,3.948871,12.626556,13.904877,-5.968389,-5.898522,-15.59603,-1.359317,12.237255,3.720539,2.080103,2.082818,7.632435,-0.445554,4.295313,T
7.625015,-6.953993,8.958807,9.670916,8.978893,4.648603,-4.963106,3.974012,-0.638972,-2.520668,-6.606909,-2.069636,-7.932191,0.160023,-9.142566,-10.49727,-14.499317,-3.210325,6.437179,-3.515085,10.397727,-7.847387,17.483738,-5.458062,-3.02703,7.657245,T
-9.541998,-10.690132,-6.293362,-5.69639,15.225129,3.32044,-21.72624,-5.58934,3.111653,-3.117421,-5.003984,-1.237168,-7.402747,-1.814775,-7.326266,-11.189195,-13.188586,2.895784,-1.539658,1.825142,7.28104,4.601894,-5.078296,1.701077,-8.511532,0.184528,T
55.189376,56.607336,-34.527849,9.808,15.910255,-23.578895,17.006961,-4.52264,37.734937,-13.949456,8.369243,-1.918784,6.691677,10.763448,0.163613,3.929968,-3.742842,-5.298104,-4.680948,-12.447819,-1.168451,-1.011146,-0.348957,3.426873,17.043101,11.652382,T
-28.404006,18.713923,24.256059,14.948987,4.790732,2.866682,-3.969611,-3.199566,-7.640492,-2.986842,-2.789911,7.318043,7.900624,6.222585,-11.318073,-18.760394,-3.977535,2.766768,-0.262931,-1.41781,8.219152,-9.574284,11.938138,-10.983542,0.364242,1.921605,F
23.958551,-34.483931,24.954998,5.71045,0.382368,6.896133,18.743283,-3.623217,0.299999,2.937963,1.355507,2.801632,3.825382,-0.198691,-4.116535,-3.757378,-3.564258,2.010629,-6.098633,0.35621,4.489342,3.691427,-5.160594,9.713765,-2.720532,-1.68306,F
-42.583007,8.121033,47.650302,-17.211537,-4.124317,-15.642857,14.275622,-1.942565,16.251949,-21.686828,6.520042,-9.68897,-0.607985,12.126895,29.929638,1.454307,-11.884372,7.606313,15.907022,-3.02359,7.242412,-12.732329,1.723368,14.434808,14.483067,-15.319289,F
1.822974,17.379247,14.585715,-1.586306,-20.888238,-10.778375,0.303221,9.605113,4.642756,-5.007377,2.802521,5.824049,7.312787,-8.805186,0.218036,-7.061106,10.12972,10.238207,-9.455612,8.002916,-1.695141,-3.692275,3.164742,6.668278,-1.563585,-2.188301,F
-27.486447,32.451663,16.137615,3.683066,-3.30994,-7.420239,-4.146506,7.53764,-6.388894,-12.385344,8.988808,10.030195,-9.915384,-18.029915,-16.940603,-5.996541,6.045913,0.687167,-7.376761,10.879791,-14.868318,-19.461746,-6.105891,8.646407,-11.259326,-10.701632,F
-38.009775,64.934248,39.425706,20.923642,24.446055,7.595489,-3.702436,13.783021,-5.309488,16.682872,-9.869498,3.325047,9.43322,13.917909,-21.015373,-6.887582,27.684632,-15.979112,16.805731,-5.936653,0.237119,0.91993,-10.80223,-12.699399,15.159271,5.397115,F
-8.130109,26.828994,8.858601,-14.705546,-6.014544,14.045444,-5.084441,-7.996076,-10.047792,-8.669471,-8.000385,9.267064,10.775969,2.608921,-1.936502,-14.786573,-5.923692,3.323839,-4.483867,0.99084,5.499851,-1.705391,3.974944,4.638974,-5.482734,-1.315342,F
53.75313,23.137533,-7.728318,-8.551957,-8.457117,16.039751,9.340912,-0.06525,-7.032837,4.8772,-7.095098,-3.073367,0.277848,3.489716,3.842449,-15.512601,5.494788,-2.692943,0.22643,-0.168866,4.576378,2.875765,6.905445,0.195494,-2.60784,-2.24878,F
-47.064656,18.50657,50.905084,-13.135989,-1.091596,-10.640497,-20.975507,0.370827,-0.471043,4.523443,-3.309154,0.739749,-3.691259,12.040573,15.648227,16.40235,1.420925,8.134397,21.043663,-0.844915,16.235424,5.264655,-15.699473,-0.275284,-16.234097,19.858798,F
-21.124642,18.62561,47.76573,17.939398,1.626628,8.417602,20.251085,18.050484,7.223371,15.831189,2.286917,-12.974742,4.732013,1.045159,-8.93889,10.797524,-5.526029,4.685822,2.8376,8.832083,-0.67504,0.780128,-0.931847,10.037882,-1.396038,3.769988,F
5.90799,22.337015,21.133901,27.598427,15.826615,25.507679,23.649172,-0.965022,-7.946313,15.846565,0.869013,-7.24637,10.052877,2.683965,0.840765,1.819075,-24.574858,-3.663993,-12.457884,6.421319,-2.509164,9.621569,12.195948,3.40705,1.93386,-5.214713,F
29.300846,13.955967,-10.6763,8.881501,18.279737,1.149033,-31.016045,-0.828927,-13.468048,-10.959049,-5.214095,3.282638,-2.282059,-5.403756,15.790049,7.038825,-0.053474,5.628925,-2.058593,34.372828,9.927628,-6.660773,12.760878,1.449347,5.529736,14.235632,T
34.906318,23.414346,-21.718633,-20.709105,-24.022083,24.063331,11.828233,14.102176,5.827598,-11.072408,-22.951108,-8.687701,-9.797674,13.859041,14.572033,-33.73234,7.928887,16.249241,21.852388,5.404237,-23.353786,15.983982,-1.953007,-0.077671,0.858472,2.151047,T
16.877311,-41.349489,-12.17767,-2.247148,-9.899826,-3.143198,3.435378,5.808486,-0.573176,5.345125,9.537314,6.715916,7.100566,2.854918,2.041189,4.796311,-4.912835,-3.290597,1.339354,4.155265,1.888708,4.083299,-3.326966,-10.091262,-1.49104,0.162296,T
-2.759627,-10.719815,8.153464,17.753399,28.680462,8.999987,21.386688,7.119139,-0.24323,-3.501983,8.370939,-34.028674,-11.605988,6.057348,4.794812,-8.005182,-0.627912,-0.522508,-13.184712,11.193581,4.590228,3.818636,-7.802924,-6.554099,2.350141,3.291543,T
41.091132,-24.401458,-0.603342,8.243334,10.445154,7.773102,13.92143,15.140695,-5.556131,17.643896,3.884699,-18.123103,-3.969783,3.853931,5.105989,6.870301,-6.48883,-4.483025,1.82346,16.212733,-12.270606,-5.434834,-11.761747,4.92028,-5.861477,-4.348425,T
17.631412,-35.00963,-8.376996,5.821209,-0.909286,-12.066553,-12.267737,23.813006,-22.550871,-18.149808,-17.95076,-12.047583,15.628329,-3.373663,2.269402,17.88233,-5.232345,-0.150727,5.58084,-1.580947,-8.412299,6.79222,-9.689609,-0.246266,3.41821,-6.50044,T
17.460853,-32.260551,-3.23005,1.502741,5.076762,-17.839926,-0.605245,34.918179,-22.021078,-37.149096,-25.551979,-10.410463,25.200532,-0.829159,-0.707035,6.679112,3.465558,-17.721035,-7.74227,-14.139371,-2.253994,1.334495,4.849542,7.316287,-1.416049,2.735467,T
32.949954,-35.364266,1.575836,1.274533,3.893487,-2.231754,-8.428932,12.631449,-5.328757,-5.26582,10.619584,-2.596162,-6.810965,-2.252945,1.407868,0.051172,2.011087,0.460911,7.798248,0.733539,0.309117,-2.046595,8.586756,-12.921643,-3.37895,0.834222,T
25.735075,-28.245296,-5.893429,-7.648239,8.809214,6.968251,0.23478,-3.609915,-4.787608,12.117945,-6.496662,2.252155,3.163542,0.724572,-2.203163,-0.914726,7.567618,2.610631,0.008517,1.017136,0.063657,1.060564,6.047577,8.328299,0.714153,15.041769,T
-70.494323,-25.898389,-24.663867,-7.764515,4.581894,10.596172,-0.811789,8.955184,4.656591,3.718829,2.635999,-11.513645,-4.345983,29.628665,-10.203534,8.940878,16.1968,16.973642,-14.630422,-11.195076,-0.497655,-8.221575,17.17956,11.131164,-10.266716,-2.108959,T
7.093361,67.824329,-31.866844,5.859334,21.147766,-24.45465,-16.089754,-3.781979,32.902743,-7.487798,3.591544,-11.071391,16.087853,5.604713,-8.39479,0.851003,-14.840041,-0.560308,4.499988,6.155131,-12.939526,5.365291,-3.164246,-2.539651,-30.491157,3.512171,T
-12.331787,19.799794,34.793547,0.688731,-12.221501,-8.211558,7.116527,10.450527,3.059965,-7.298766,7.90369,15.498927,5.340427,-6.652252,-4.066381,7.476225,4.290244,9.463502,3.701504,5.707044,-4.350511,-9.229292,7.430922,0.685337,-2.792601,-8.899964,F
29.780833,13.451666,20.854337,4.898795,-3.638796,2.515051,14.030385,3.841767,0.493573,-6.423409,7.168437,12.338583,6.250292,-2.45109,-4.64865,1.048637,15.408578,6.3967,-5.930625,-4.12517,-1.026658,4.720642,-2.298166,10.960922,-1.986078,0.266869,F
20.670826,-25.366837,28.235682,-26.948645,-13.877052,-12.823467,-1.588696,-2.400608,16.407342,3.729131,-16.407273,-4.843928,-5.034005,-7.128304,-5.467434,-1.328429,-1.699883,-5.570438,-7.074665,-2.863943,16.127439,9.325368,-1.44592,1.614966,-6.223171,-9.485806,F
-38.087079,28.280029,26.275763,4.5787,3.622596,24.842884,-3.796028,-11.242473,-9.235993,-4.859631,5.609626,23.443457,7.777423,6.933236,17.150487,17.633496,-6.64038,2.977203,-9.048126,-14.586229,-18.110927,26.288328,5.636516,-6.995074,-13.092859,-4.288421,F
-7.901117,-16.460405,8.047542,-23.391861,-0.379069,-17.5541,-9.223987,-4.293076,-7.829296,26.885261,-4.163277,6.643886,23.742133,3.534277,13.164713,-5.42893,-5.011458,14.528119,-17.412725,2.825276,-23.440609,-19.753569,-10.526256,-12.420884,9.456695,17.376764,F
47.586553,-11.384305,-5.761676,-2.889886,3.96489,-12.860675,-4.407401,-2.36388,-1.796074,10.07874,10.245248,3.679035,8.95376,-1.335479,-2.838279,-5.344749,1.289256,3.880892,2.278072,-6.323869,6.705206,7.448623,-0.493838,-0.130411,-1.152398,-1.851987,T
44.503476,10.876756,-18.343513,-2.61397,16.737789,-3.359047,-13.452763,-1.303591,-11.575577,12.512623,-2.853387,4.128734,1.276509,-0.027242,-3.285669,-0.781996,-3.828642,6.679964,6.399285,-3.470767,6.719144,2.82405,-4.443478,4.792508,5.021993,-13.102697,T
62.946047,-15.450215,4.777344,-9.40248,3.499585,-10.163268,0.64497,-5.920035,-8.465331,7.645077,-0.357706,9.365641,7.10596,0.558625,0.164442,-3.448211,-5.036686,-2.036925,1.21528,-5.095702,2.411445,-3.325449,-0.26626,-1.569294,2.20319,-2.367625,F
62.293043,22.525775,0.194228,-12.973092,27.992483,-12.085045,-12.29562,-9.092062,-4.617137,22.379067,1.74217,-2.04819,-1.112579,-7.0208,20.298844,-2.580179,20.436537,-22.628529,5.43647,3.227135,-2.43165,3.183583,16.215148,15.392876,-8.561651,-15.775041,F
58.161959,-23.188565,-6.851167,-6.412953,8.071614,-7.814978,-0.937195,5.286159,-6.130481,8.108885,16.473326,-6.367371,-15.941154,-0.250907,-2.01657,11.878581,8.924124,15.337488,9.853536,-6.243112,1.917728,2.664168,7.814037,-11.527763,-4.129869,-9.364895,T
53.536066,-21.306333,5.309716,-13.950961,3.539037,-11.501539,7.590857,-5.390141,-1.004365,16.24609,6.860989,2.454357,1.951499,-1.333995,0.145529,2.456191,1.834852,6.07961,1.457104,-7.906386,-10.486746,-7.045347,-5.06311,1.105178,9.198272,-2.701371,F
22.828832,19.70869,0.61473,-5.614947,26.46764,-15.915239,2.298328,-16.419083,1.420108,-12.155968,10.049366,1.909291,7.950603,-5.693718,12.269281,-6.811218,8.862126,6.746518,-4.914691,-1.10139,-4.621328,-3.638512,1.602844,-8.281311,5.478754,-5.26607,F
6.054805,2.439191,14.771581,-45.749137,-8.623817,4.176311,-4.726431,-0.8708,11.134036,5.813119,-6.573576,-9.701497,-19.107474,-11.901008,-10.113599,15.999654,4.775341,-12.387139,-8.08355,3.333418,-7.075161,10.997612,-1.482877,8.173742,10.945099,13.798837,F
-48.1194,26.292108,23.05554,-41.308622,-6.08111,-14.281462,-12.137101,4.634076,13.659738,13.13688,-18.258785,-9.61491,-12.028763,-0.773534,-3.897042,5.423117,-9.871335,-11.863205,-16.076923,-1.463498,-4.517084,3.356401,15.541813,-17.55918,6.467068,-5.981422,F
6.445228,66.285901,-24.64423,-63.022244,-6.824021,50.533087,5.790223,-7.044035,-19.99172,-15.498597,26.720052,-19.365935,20.046579,-7.720231,-9.63305,11.185185,-4.032312,-5.317806,5.096085,-0.943126,11.791466,-11.332617,-6.638808,-6.921296,2.085147,-0.657891,F
23.116252,0.240538,11.894948,-8.837924,-5.061726,-2.569143,-0.646115,-5.472383,7.954619,-9.087476,-11.047226,4.773437,-0.264588,-6.921393,-5.753399,-15.165376,6.098105,9.571661,-19.7258,3.852875,10.709741,9.022417,-3.378863,4.074326,-1.18398,6.592263,F
45.96434,-42.777536,7.157666,4.62046,-5.151576,3.003561,14.129195,-8.77089,2.365886,7.403883,0.949934,-5.082114,4.358589,-1.880018,2.442439,-3.77432,-4.334278,-1.298794,-1.419504,-0.699112,1.23832,-1.811297,-0.165539,0.954541,-4.622178,2.441843,F
2.071095,-23.951027,14.390259,3.397307,5.40826,12.207933,1.221305,-15.837997,-0.046895,-9.511885,5.544905,7.044762,-13.681161,-15.374718,-0.11696,0.760504,9.272648,-4.474873,-1.271881,-2.078606,-8.716754,4.55495,-11.501701,3.069605,-4.003387,5.340912,T
-65.438101,-37.628583,-12.128694,-8.110328,0.485723,-13.17629,15.553818,11.337318,11.779522,-9.791707,24.529977,1.244646,-0.116171,3.823407,13.875637,-9.455595,10.236156,-15.677061,-10.536973,7.84016,8.303786,12.135499,-8.843806,-15.808843,1.174896,0.345503,T
-70.598431,-33.387549,0.75502,2.289291,15.016045,2.448117,-12.743471,7.574802,-3.210585,-7.034659,11.419438,-0.899349,-8.042589,2.529067,3.758834,-13.989465,10.118498,-18.503191,-2.125399,-4.862267,-5.073309,-7.476062,-1.559341,0.640079,-2.785839,1.063302,T
43.03425,-24.750892,3.699008,5.748962,-4.126654,-5.172691,-2.831428,7.231839,2.506277,-1.936812,-0.482464,0.566727,-2.124077,-5.934159,-3.614151,-1.803972,-5.066964,-3.219726,5.324568,3.389487,1.232863,-2.953356,-0.087108,-10.665425,-2.743432,-0.711538,T
9.281459,-15.819745,7.917599,8.230658,9.829703,6.682264,-9.187751,-9.690975,-0.66097,-16.329259,5.45604,3.803415,-12.545122,-9.746466,-6.871326,-3.485814,0.152482,-3.428976,1.28332,-2.336746,-3.743365,-0.325577,-10.52139,1.113323,2.544048,-0.449264,T
-16.291009,-8.083909,0.521733,8.351926,21.333948,15.046699,-14.177052,-19.335984,1.097802,-16.194046,0.856402,4.727645,-13.609569,0.250303,2.509817,2.90136,0.124931,3.313429,-7.026773,0.640292,-4.59005,5.501268,-11.886058,3.157798,7.935977,-4.155742,T
