Attr3252,Attr4847,Attr4196,Attr1882,Attr6041,Attr1834,Attr1745,Attr2111,Attr1779,Attr1829,Attr3320,Attr2288,Attr6201,Attr1674,Attr2121,Attr2402,Attr6919,Attr4366,Attr6005,Attr6806,Attr2363,Attr4951,Attr6281,Attr2020,Attr235,Attr6803,Attr1260,Attr760,Attr2546,Attr2642,class
-0.601857,-0.839667,-0.656524,-0.618261,-0.782856,-0.663117,-1.00243,0.029994,-0.526945,-0.874858,-0.868556,-0.52951,-0.349304,-0.776495,-0.594995,-0.431634,-0.575177,-0.701095,-0.471483,-0.664264,-0.092948,0.188745,2.02074,-0.653869,-0.925571,-0.670641,-0.504708,-0.495054,-0.606376,-0.903864,T
-0.518583,-0.493653,0.753624,-0.511291,-0.735316,-0.013173,-0.324408,-0.648971,-0.259542,-0.385489,-0.532135,-0.435433,0.150087,0.887808,-0.405045,-0.306158,-0.481914,0.209987,0.313724,0.329881,-0.084548,-1.10119,0.249493,-0.895633,0.384006,0.266369,0.649602,-0.295517,-0.19476,-0.059232,T
-0.720782,-0.409749,-0.297429,-0.580581,-0.354607,-0.768085,-0.740875,-0.375565,-0.536069,-0.902743,-0.820459,-0.534376,-0.579023,-0.731158,-0.885089,-0.541266,-0.892798,-0.696828,-0.060869,-0.895565,-0.608957,-1.00712,0.898514,-0.982224,-1.09098,-0.907291,-0.687702,-0.521452,-0.420534,0.746494,T
0.538875,-0.617624,-0.259428,-0.410996,-0.571094,-0.701584,-0.275049,-0.956952,-0.517813,0.338396,-0.588769,-0.533214,-0.576365,0.428941,-0.247696,-0.416659,-0.574429,0.108935,-0.803224,0.133964,-0.91655,-1.58213,-0.674661,0.205633,-0.638291,0.107533,-1.32936,-0.360509,-0.96996,-0.908296,T
-0.757284,-0.299676,-0.416874,-0.55176,-0.666509,-0.969667,0.006577,-0.604931,-0.486394,-0.378008,-1.09896,-0.564679,-0.59817,-0.372833,-0.399029,-0.481846,-0.82761,-0.502092,-0.356659,-0.742285,-0.235191,-0.134072,1.72033,-1.32951,-1.07546,-0.759995,-1.32812,-0.486126,-0.486221,0.921673,T
-0.698955,-0.300419,-0.68444,-0.548036,-0.876255,-0.533595,-0.662256,-1.2341,0.080182,-0.725963,-0.602,-0.519515,-0.584944,-1.14633,-0.399118,-0.475932,-0.45318,-0.872116,-1.26154,-0.719272,-0.601505,-1.72166,1.10359,-0.584887,-1.15569,-0.764749,-0.605501,-0.451677,-0.590382,0.285088,T
2.91627,-0.363784,-0.781816,-0.509996,1.59733,-0.622442,-0.520509,0.279492,-0.322968,-0.013585,0.36678,-0.561379,-0.560959,0.194485,0.357167,-0.577168,0.277198,1.0839,-0.335061,-0.715427,2.62833,1.09308,-0.693301,1.04402,1.62065,-0.718917,0.801511,-0.535443,3.56737,-0.921444,T
-0.539429,-0.546299,-0.659833,-0.539016,-0.766067,-0.52521,-0.218304,-1.21773,-0.489017,-0.608499,-0.438071,-0.492221,-0.55335,-0.07089,-0.867082,-0.575827,-0.640338,-0.298506,-1.39263,-0.399403,-0.684936,-0.809179,0.748316,-0.396031,-0.445993,-0.555493,0.22807,-0.490809,-0.839213,0.20813,T
-0.662931,-0.404501,-0.555679,-0.577883,-0.699016,-0.507337,-0.926554,-0.939195,-0.438579,-0.735121,0.12718,-0.505214,-0.592175,-0.994,-0.598722,-0.543318,-0.642248,-0.824183,-0.514596,-0.634738,-0.483335,-0.356457,0.554059,-0.064922,-0.593563,-0.727046,-0.713379,-0.455653,-0.483637,-0.002322,T
-0.91946,-0.509802,-1.12692,-0.559032,-0.507527,-1.12954,-0.603061,0.152384,-0.510095,0.213297,-1.01444,-0.565584,-0.611622,0.278615,-0.458318,-0.730848,-1.0902,-1.12297,-1.14815,-0.740895,-0.901994,0.391083,2.8961,-0.89784,-1.75246,-0.785746,-2.31948,-0.627401,0.01822,1.37654,T
-0.571671,-0.738108,-0.464792,-0.559726,-0.63401,-0.499303,-0.363448,-0.305829,-0.527055,-0.473473,-1.09464,-0.504714,-0.554074,-1.30868,-0.943521,-0.488763,-0.78147,-0.951287,0.101955,-0.727302,-0.705302,-1.43202,1.36519,-1.60337,-0.630939,-0.804971,0.659955,-0.415213,-0.755007,-0.038586,T
-0.655169,-0.693239,-0.953811,-0.554978,-0.673985,-0.481429,-0.592765,0.291351,-0.505859,-0.804491,-0.473055,-0.532166,-0.532875,-0.719519,-0.755386,-0.422369,-0.538584,-0.860831,-0.028861,-0.614326,-0.840186,-1.41896,-0.702947,-0.434621,-0.285279,-0.767803,-0.405159,-0.446697,-0.755818,0.914175,T
-0.525202,-0.83004,-1.01361,-0.460224,-0.633928,-0.506903,-0.902299,-1.06233,-0.519131,-0.797645,-0.6119,-0.536753,-0.543722,-1.14548,-0.624085,-0.338051,-0.758917,-0.750107,-0.773698,-0.434432,-0.979461,-0.329007,0.280002,-0.241568,-0.07474,-0.393675,0.452131,-0.426037,-0.867977,-0.632559,T
-0.696862,-0.714273,-0.543013,-0.597168,-0.521962,-0.852195,-0.397372,-0.617924,-0.527181,-0.482278,-0.557627,-0.577855,-0.562868,-0.760499,-0.651686,-0.437027,-0.500471,-0.425336,-0.345895,-0.886703,-0.058331,-0.596828,0.371777,-0.475887,-0.290669,-0.94436,-1.30299,-0.446252,-0.122933,1.04144,T
-0.573825,-0.378206,0.154108,-0.587216,-0.837986,-0.441783,-0.938278,-0.866369,-0.501847,-0.712194,-0.140593,-0.535705,1.17053,0.461165,-0.619613,-0.466415,-0.675172,-0.668463,-1.04228,-0.747383,-0.566933,-0.880894,0.441323,-0.289141,-0.809233,-0.79268,-0.491876,-0.489464,-0.352426,0.737058,T
-0.626539,-0.548824,-0.49244,-0.540056,-0.362371,-0.675491,-0.668186,-0.669669,-0.495368,-0.693172,-0.596864,-0.500713,-0.553711,-0.959499,-0.626244,-0.553718,-0.550049,-0.301115,-1.06608,-0.771587,-0.843261,-0.625226,1.11577,-0.914442,-1.03695,-0.85951,-1.24436,-0.472576,0.045068,1.8822,T
-0.411325,-1.16331,-0.966071,-0.524403,-0.857564,-0.501368,-0.218739,-1.7159,-0.524553,-0.624706,0.132343,-0.566986,-0.537857,-1.06942,-0.271557,-0.506723,-0.603527,-1.35948,-0.650847,-0.290006,-1.00687,-1.08669,-0.564275,-0.630502,-0.222911,-0.230171,1.29547,-0.382842,-0.342657,0.484456,T
-0.503443,0.497135,1.50277,-0.371543,0.0346,-0.346055,-0.185924,0.808576,-0.464909,-0.105826,0.34363,-0.501987,2.25285,1.00248,0.481295,-0.471322,-0.630242,-0.342864,-0.526339,-0.353414,-0.0438,2.02755,-0.609118,1.56493,-0.726051,-0.247221,-0.408005,-0.40297,0.518467,-0.965526,F
0.742518,1.27334,1.91828,0.694847,0.77855,0.47705,0.82956,-0.014928,-0.147408,0.301377,1.65205,1.50405,0.014045,0.094781,-0.12037,2.88258,2.22832,1.42557,-0.141229,0.304145,1.65618,0.568192,-0.407852,1.29221,0.70484,0.127027,0.873753,0.306755,-0.142505,-0.792131,F
0.816265,2.72645,2.37374,1.86081,2.26823,1.38622,2.33883,1.47299,-0.482174,3.38292,2.8127,1.57243,0.562428,1.13347,2.13626,1.07148,0.742311,1.27604,2.57974,0.895899,1.31423,-0.172084,-1.49876,1.6955,1.44241,0.760552,2.56113,3.97682,0.306374,-0.861466,F
2.02431,0.135378,0.86303,0.722325,-0.159089,2.19653,0.386286,1.43911,1.33788,1.50985,2.06646,0.956275,-0.189243,0.279085,0.682255,0.792867,1.0335,0.220833,1.4663,1.36682,0.428323,1.36611,-0.751904,1.02071,1.38075,1.09972,0.740999,-0.05357,1.64685,-0.851517,F
-0.554628,1.12828,-0.041503,1.57609,0.654375,0.702878,2.47668,2.30327,-0.50119,0.697623,1.42912,-0.453719,1.76387,1.38522,1.71373,-0.398749,-0.188887,-0.326981,0.519746,0.734005,-0.065804,-0.332708,-0.450042,0.780815,-0.216888,1.32057,-0.233671,-0.361204,2.53697,-0.864499,F
1.29628,1.16473,1.7167,0.051335,2.00265,-0.144185,3.0448,-0.107399,0.746826,-0.353458,-0.082864,0.06531,3.21405,1.66652,-0.145003,0.111165,0.682635,1.23703,1.51926,2.70527,1.93395,0.331965,-1.70488,2.74012,-0.558706,2.70403,-1.09412,-0.06234,0.914742,-0.966446,F
2.07794,0.98079,1.76655,-0.27943,-0.041588,2.4218,1.24055,1.41661,0.635857,1.87495,1.37983,0.957302,0.936433,0.310104,1.06972,1.78356,0.428326,0.308542,0.483193,0.31776,1.51913,0.745683,-1.00851,1.46922,1.34769,0.294796,2.25743,-0.145476,1.47778,-0.713501,F
0.95268,-0.120407,0.132511,-0.274433,0.063101,1.09006,0.099875,-0.603539,2.07699,1.24246,1.13572,-0.538242,-0.526202,-0.468096,0.40768,-0.327416,0.064933,-0.089933,0.634923,-0.205703,-0.275413,1.87919,-1.08897,0.877324,0.598539,-0.195678,0.635508,-0.034628,0.451515,-0.698773,F
1.57582,1.78795,2.06189,2.24999,2.88898,0.886895,2.17538,2.2572,-0.240822,2.96686,2.71834,0.71308,2.27509,1.90358,3.23413,0.664935,3.75562,1.66038,3.05543,3.17302,1.12302,0.226611,-1.62221,0.801423,1.49487,3.07712,1.31734,2.61976,-0.37365,-0.977391,F
0.175134,0.662496,1.57141,1.64813,1.10223,-0.136808,1.99015,1.73025,-0.375154,1.02071,1.32334,1.4019,2.85011,1.5892,1.50441,1.06047,2.47359,-0.079584,0.571064,2.66895,0.161956,1.27577,-1.22122,1.66808,-0.187811,2.67122,0.576315,1.27802,-0.511414,-0.890674,F
0.034248,0.175474,-0.680418,-0.265099,-0.15696,-0.313818,0.012757,1.66705,0.395664,-0.522802,1.15398,-0.025924,1.25153,1.50397,-0.289541,-0.105446,-0.64256,-0.069896,1.81203,-0.430903,-0.735074,0.531071,-1.2889,1.27661,-0.555517,-0.182698,0.36824,0.224149,0.212204,-0.864324,F
-0.521302,-0.678959,-1.07345,-0.55166,-0.884147,-0.454162,-0.742778,-0.08454,-0.439346,-1.18953,-0.20545,-0.557649,-0.441835,-0.751694,-0.787464,-0.442222,-0.325499,-0.714395,-0.436526,-0.660291,-0.788236,-0.611454,0.496574,-0.661666,0.033591,-0.675407,-0.097047,-0.450434,-0.557051,3.21894,T
-0.521593,-0.70825,-0.635742,-0.525482,-0.599274,-0.206977,0.185797,-1.01471,-0.524474,-0.934008,-0.224616,-0.622066,-0.53522,-1.17837,-0.73042,-0.395806,-0.452005,-0.469568,0.899021,-0.736824,0.39196,-0.786982,-0.265763,-0.789692,0.00024,-0.764484,-0.414364,-0.42934,0.215503,-0.302626,T
-0.591709,-0.634837,-0.683167,-0.565077,-0.469493,-0.687658,-0.296047,-0.568437,-0.517424,-0.291481,-1.03587,-0.501822,-0.579,-0.983958,-0.667881,-0.4261,-0.65463,-0.562598,-0.808322,-0.544353,-0.288277,-0.249862,1.14145,-1.46602,-0.106296,-0.597549,-0.379653,-0.371706,-0.510086,0.286445,T
-0.6624,-0.754648,-0.745284,-0.504106,-0.238905,-0.575608,-0.656541,0.477933,-0.359711,-0.796541,-1.54256,-0.515076,-0.393213,-0.044556,-0.727262,-0.495155,-0.236948,-0.305294,-0.47286,-0.128035,-0.788659,-0.212835,-0.082984,1.05011,-0.786529,0.304736,-0.897633,-0.407762,-0.954916,0.636274,T
-0.395312,-0.796828,1.18128,-0.551662,-0.715326,-0.572572,-0.632491,-0.834268,-0.321522,-0.235699,-0.76261,-0.49018,-0.555313,-0.364919,-0.572736,-0.174286,0.458195,-0.466497,-0.198943,0.350316,-0.57895,-0.68058,0.00289,0.315415,-0.028111,0.274113,-0.472662,-0.229005,-0.819811,0.05697,T
-0.727484,-0.867476,-1.02445,-0.446681,-0.654509,-0.48364,-0.582219,-0.319647,-0.525639,-0.128534,-1.30226,-0.470702,-0.570695,-0.765133,-0.668221,-0.485578,-0.456039,-0.681021,-0.99109,-0.425238,-0.828957,0.617627,1.68599,-0.913526,-0.865159,-0.501693,-0.418003,-0.444951,-0.947166,3.14214,T
-0.581599,-0.804721,-0.623842,-0.521849,-0.032737,-0.493263,-0.801422,-0.664843,-0.538533,-0.245714,-0.937053,-0.465813,-0.543672,-0.07092,-0.516187,-0.433819,-0.443913,-1.05655,-0.580034,-0.787062,-0.780168,1.17788,0.661919,-1.1559,-0.268143,-0.762639,-0.314607,-0.423319,-0.549945,0.482258,T
-0.645466,-0.761855,-0.984981,-0.530449,-0.66336,-0.727455,-0.70933,-1.16272,-0.522275,-0.058432,-0.805493,-0.487405,-0.573746,-0.059936,-0.440507,-0.515714,-0.503145,-0.772057,-0.648744,-0.677157,-0.632818,-1.11087,0.621353,-1.04741,-0.211458,-0.709776,-0.185653,-0.472861,-0.791335,0.213823,T
-0.55863,-0.546563,-0.275451,-0.522517,-0.448167,-0.181655,-0.544284,0.026849,-0.403136,-0.5695,-0.164445,-0.406133,-0.54124,-0.71438,-0.603521,-0.402857,-0.656009,-0.702949,-0.428918,-0.60619,-0.147621,0.271927,0.588492,-0.394529,1.17377,-0.63555,-0.013251,-0.43021,-0.114055,-0.099876,T
-0.773564,-0.408515,-0.635221,-0.601937,-0.346045,-0.732001,-0.957845,-0.029976,-0.515024,-0.777745,-0.839137,-0.557504,-0.592512,-0.078582,-0.579345,-0.518183,-0.650712,-0.466485,0.217486,-0.851811,-0.707537,-0.306152,1.73951,-0.422741,-0.749078,-0.925547,-0.82775,-0.546175,-0.933163,0.840727,T
-0.555319,-1.05815,-0.865401,-0.47734,-0.956005,-0.004959,-0.476121,-1.38302,-0.310841,-0.727007,0.112773,-0.528823,-0.545922,-1.24927,-0.131459,-0.515438,-0.161844,-1.32518,-0.616927,-0.299203,-0.86699,-1.55831,-0.075401,-0.208897,-1.45401,-0.24626,-0.794391,-0.45144,-0.76464,2.08276,T
1.31224,2.6848,1.31896,1.48623,1.43839,1.14739,2.62432,1.55733,0.981413,1.1996,1.38008,1.45799,1.87066,1.65306,1.29352,1.33851,1.40608,2.47151,2.8486,1.0541,1.63765,0.79637,-1.41331,1.56204,0.709542,1.11234,0.053487,1.39397,0.873702,-1.00593,F
0.965867,0.591543,1.17044,-0.07373,0.206763,0.521266,1.78309,0.283055,1.11667,0.842926,1.26351,2.35683,3.14391,0.74074,-0.064507,2.33964,2.85245,0.627972,0.991966,0.50925,0.506342,0.481017,-1.11138,0.619382,0.760653,0.502158,1.30056,0.001303,1.44151,-0.805351,F
0.453253,0.360593,0.917357,2.39323,1.21183,2.51398,1.25696,1.28479,-0.401339,2.76261,-0.928236,1.53877,-0.471871,1.98462,3.88072,-0.275215,2.12965,3.2484,1.21313,3.23866,0.69698,0.501443,-0.430521,-0.392238,1.11311,3.1269,1.5647,3.90392,0.585971,-0.786802,F
0.707383,1.35608,1.10399,2.97982,1.23127,0.557456,0.81159,1.35475,0.8735,0.025726,2.48096,4.96756,0.864447,1.54039,1.03863,1.67774,1.45595,0.50674,1.33201,1.25753,-0.318334,0.252452,-1.31816,0.650647,-0.263579,1.14859,1.60151,-0.145566,1.39658,-0.758897,F
0.065116,1.73465,1.22019,1.25302,3.1165,0.392011,0.047978,0.89,3.01414,0.471043,-0.364046,0.7537,-0.588025,-1.53203,1.18623,1.96013,0.431295,1.37055,0.093571,-0.389567,1.12789,1.83559,0.555396,1.27956,2.65485,-0.495273,1.28884,0.547999,0.62901,-0.906341,F
-0.548593,-0.233028,-0.390233,-0.471283,-0.385648,-0.374164,-0.613581,-0.574789,-0.13928,-0.510732,-0.454576,-0.475156,-0.56373,-0.70168,-0.837543,-0.238912,0.201151,-0.485248,-0.765996,0.085853,-0.643078,1.54524,0.548627,-0.288072,0.340795,0.505625,-0.282802,-0.368602,-0.386205,-0.383043,T
-0.390714,-0.672062,-0.71419,-0.441129,-0.567147,-0.200596,-0.678611,-0.525418,-0.466049,-0.685716,-0.345304,-0.457654,-0.567889,-0.853285,-0.435715,-0.401106,0.056277,-0.659656,-0.899734,-0.318494,-0.831136,-1.32936,-0.535277,-0.529949,-0.58874,-0.382251,0.834087,-0.385535,-0.447227,0.670986,T
1.08111,0.631347,1.90354,0.020751,0.966319,1.23616,-0.264555,-0.058506,1.132,1.25933,-0.584872,2.51485,-0.539611,0.572236,1.23142,4.35139,2.32673,0.388261,0.03332,-0.260686,1.14131,2.75257,-1.01383,0.440376,1.18967,-0.324108,1.68397,0.53996,-0.092795,-0.849018,F
1.16061,0.812712,0.031138,1.69614,0.301723,0.654991,0.35987,-0.377115,1.60741,-0.683367,1.18361,1.11735,-0.206675,1.18143,0.268781,-0.139207,0.911026,-0.149647,0.378968,1.98081,0.309577,0.654011,-0.509781,1.0621,0.932654,2.39166,1.15831,0.208337,0.281403,-0.703962,F
-0.505623,-0.536367,0.323504,-0.500107,-0.61034,-0.420843,-0.68714,-0.084687,-0.09866,-0.54523,-0.830983,-0.454213,-0.582935,-0.772085,-0.184534,-0.104174,0.35774,-0.483012,-0.296447,0.132371,-0.299357,-0.595684,1.10476,-1.22252,0.248902,0.291702,0.495816,-0.263116,-0.660362,-0.219276,T
1.29628,0.430382,2.14976,-0.135265,0.850531,0.000193,-0.412256,0.052749,3.65932,0.191866,-0.674715,0.562036,-0.54024,-0.559897,-0.238695,3.53274,1.11304,0.891959,0.34264,0.243854,1.74884,0.911218,-0.682969,-0.201229,2.06158,-0.046124,1.85622,1.4476,-0.392765,-0.818777,F
3.35959,1.09979,-0.76613,-0.519619,0.343178,0.356048,-0.31475,0.754681,4.07927,1.1101,-0.322829,0.149769,1.98329,1.15188,-0.074826,-0.160783,-0.589488,1.12929,0.425245,-0.03557,1.19752,2.09712,-0.602208,0.483219,0.742958,-0.081857,0.886287,-0.412831,3.32497,-0.826135,F
0.623781,3.10425,0.510817,3.28424,1.619,2.4404,1.23026,2.10181,-0.133746,1.91201,-0.455592,0.9282,-0.530259,2.55484,1.47601,-0.358538,-0.008329,3.05119,1.23475,2.85482,-0.159569,-0.88634,-1.22768,0.297755,2.36462,2.53697,0.965273,2.59624,1.05813,-0.425347,F
2.6497,2.62133,0.545483,2.76957,3.31633,3.07267,2.36322,2.43686,0.405491,1.6015,1.28085,1.76196,1.14437,1.61836,1.19161,-0.192165,0.912685,2.45681,1.68871,1.14106,-0.053549,-0.194762,-1.68125,0.591397,3.24685,1.04803,0.542639,3.19017,-0.215798,-0.863816,F
0.935854,1.44144,0.780321,-0.035012,0.277637,3.61309,0.782227,0.669848,0.053015,1.77458,1.91972,0.234306,-0.139549,-0.842424,2.90098,-0.107442,0.201445,1.11529,1.28171,-0.669854,3.68477,0.122979,-1.40832,3.41154,-0.156416,-0.662569,-0.459813,-0.212602,2.9853,-0.631841,F
1.40867,0.572083,0.650785,1.73399,0.408119,0.48982,0.02653,0.900471,2.4228,0.224422,1.42068,0.942962,0.808159,2.07481,-0.271967,0.255384,0.257007,0.756907,-0.21141,-0.029653,1.617,0.603608,-0.579499,-0.640628,0.657769,-0.13342,0.611872,0.199424,0.70162,-0.829556,F
-0.367617,-0.433151,0.023792,-0.172229,-0.060519,0.050995,-0.286605,-0.784684,-0.473534,-0.424275,-0.562615,-0.505121,-0.454251,-0.416589,-0.444636,-0.475139,-0.607253,-0.179639,-0.998657,-0.605301,0.170356,1.94883,-0.300681,-0.34868,-0.053381,-0.561704,0.289702,-0.405244,-1.06327,-0.714288,F
-0.636863,0.687255,0.383979,-0.179145,0.286854,-0.347382,0.955395,0.796393,-0.543854,-0.415727,-0.369677,-0.43189,0.51771,0.739003,-0.079613,-0.465171,-0.841167,1.43088,-0.507721,-0.010431,-0.470747,-0.590647,-0.740699,-0.645225,-0.485904,0.042208,0.247662,-0.328777,0.877257,-0.70921,T
-0.842437,0.276769,-0.382675,-0.540475,-0.236162,-1.03604,-0.55806,-0.333782,-0.530883,-0.000257,-0.473066,-0.478556,-0.559741,-0.38437,-0.598225,-0.477064,-0.564479,-0.428125,-1.10263,-0.341175,2.10404,-0.936176,0.294512,-0.515894,0.195209,-0.331441,-0.676648,-0.459909,-0.031639,1.0018,T
-0.826115,-0.653284,-0.429812,-0.601517,-0.428725,-0.666473,-0.518124,-0.188349,-0.419014,-0.666223,0.081127,-0.513532,-0.582885,0.162347,-0.400578,-0.53183,-0.76986,0.151919,-0.864595,-0.657181,0.053721,-0.423776,0.216737,-0.966491,-0.634592,-0.639541,-1.35583,-0.481488,-0.890886,0.540678,T
-0.531951,-0.735262,-0.953381,-0.491548,-0.70359,-0.486344,-0.323159,-0.690814,-0.35734,-0.198136,-0.655105,-0.55062,-0.52529,-0.648265,-0.636524,-0.417602,-0.471567,-0.593205,-0.967599,-0.27134,-0.742953,-0.121387,0.203122,-1.04254,0.035765,-0.199768,-0.156434,-0.403223,-0.628314,0.721897,T
-0.681127,-0.482294,-0.701902,-0.553464,-0.769129,-0.595319,-0.735269,-0.250217,-0.548018,-0.805792,-0.397873,-0.483056,-0.088911,-0.3807,-0.630073,-0.441121,-0.422569,-0.407598,-1.27036,-0.631725,-0.762319,-1.01839,-0.608285,-1.25074,-0.729649,-0.71529,-0.162391,-0.444471,-0.498933,0.538518,T
-0.610598,-0.567446,-0.636032,-0.471444,-0.610563,-0.458287,-0.491642,0.360756,-0.477601,-0.757564,-0.323774,-0.494472,-0.541645,-0.342396,-0.955713,-0.527748,-0.624951,0.473385,-0.962231,-0.805248,-0.745192,-0.183375,0.391059,-0.650041,-0.686489,-0.804326,0.397965,-0.505814,-0.159714,1.28389,T
