gene249,gene493,gene245,gene267,gene1635,gene1423,gene897,gene377,gene765,gene1494,normal
0.008308,1.40241,0.689297,0.634249,1.33085,0.215158,0.856003,2.32254,0.65299,0.239373,F
-0.951581,-0.412118,-0.769947,-0.880434,-0.859681,-0.862261,-0.744798,-0.922103,-0.69135,-1.27776,T
-1.72487,-1.24689,-1.30416,-1.36005,-1.10989,-0.726423,-1.0324,-0.668042,-0.896282,-1.12987,T
-0.484483,-0.82305,-0.203472,-0.267343,-0.079029,-0.31353,0.008383,-0.708878,-0.066362,0.414182,T
-1.19134,-0.884028,-1.26901,-1.22055,-1.60971,-0.633585,-1.63123,-0.951402,-0.816295,-1.06223,T
-1.12494,-1.04328,-0.954554,-1.07711,-0.446248,-0.08839,-0.728327,-0.788323,-0.783134,-0.064423,T
-1.13318,-1.18657,-0.554129,-0.636327,-1.26036,-0.620604,-0.407127,-0.407664,-0.369369,-0.367771,T
-0.984725,-1.05708,-0.271837,-0.270868,-0.910873,0.421138,0.006286,-1.05026,0.021763,0.259273,T
0.33453,-0.549997,0.51071,0.268957,1.20411,-0.475018,0.612448,-0.692001,0.16038,1.02955,T
-0.692988,-0.728455,0.010609,-0.012572,-0.102644,-1.21846,0.674838,-0.612216,0.041811,-0.838719,T
-0.220623,-0.913241,-0.585252,-0.135017,-0.87417,-0.658125,-1.48187,-0.967186,-1.0495,-0.468248,T
-0.137305,-0.338867,-0.235878,-0.233203,-0.726664,-0.08603,-0.847921,-0.686497,0.081342,-0.302558,T
-0.96071,-1.83724,-0.493992,-0.427805,-1.17339,-1.55807,-1.62951,-1.65309,-0.819163,-0.924916,T
-1.32711,-0.570915,-0.824537,-0.907698,-0.315049,0.217732,-1.92973,-0.659746,-0.832429,-0.501954,T
-0.874957,-1.21756,-0.4659,-0.418818,-0.97314,-1.02148,-0.90955,-1.6452,-0.091932,-1.13372,T
1.42795,0.547207,1.55867,1.63522,1.59878,1.49866,0.847055,1.39393,1.33909,1.32769,F
-0.399723,-0.738518,-1.14452,-0.735687,-0.620758,-0.388182,-0.023602,-0.347112,-2.1303,0.440002,T
-0.330386,-0.977785,-0.672152,-0.814496,-0.772532,0.17575,-0.52569,-0.970712,-0.800751,-0.176926,T
0.864822,0.366829,0.939563,0.941415,1.10535,0.418571,1.30075,1.48753,0.109645,0.649451,F
1.59623,1.62195,0.089644,0.317687,1.15657,1.32519,1.10464,0.923745,0.953207,1.86291,F
-0.519955,-1.03132,-0.850672,-0.507966,-0.59211,-0.664787,-0.383528,-0.600602,-0.853935,-0.082354,T
0.599858,0.43863,0.611852,0.551036,1.08682,0.937619,1.24151,-0.09786,-0.01211,1.10551,T
-0.555301,-0.636079,-1.16856,-0.844443,-0.50069,-1.46176,-0.306894,-0.61041,-0.898644,-0.648994,T
-0.812223,-1.81962,-0.69526,-0.887238,-0.473529,-1.42388,-1.43747,-1.84239,-1.31511,-1.16982,T
0.722843,-0.045496,-0.437148,-0.287848,2.03197,0.939908,1.2743,1.19715,-0.406948,1.67218,F
1.05895,1.02057,1.01145,1.12261,1.76835,0.928112,1.56699,0.70518,0.135997,1.39229,T
1.57605,1.77076,1.5735,1.56643,1.15771,1.66433,1.07333,-0.193367,0.939973,1.51957,F
0.030126,0.0915,-1.1418,-1.29431,0.256466,-1.23214,-1.47911,-0.137593,-1.27574,-0.998734,F
-0.157616,-0.605867,-0.70697,-0.528896,-0.714096,-2.399,-0.965835,-0.761555,-0.477421,-1.66023,T
-0.089325,-0.502564,-0.373917,-0.417712,-0.418085,-0.911255,-0.466957,-0.552491,-0.504203,-1.1708,T
1.40224,0.448844,1.64685,1.6256,0.74671,1.36077,0.570068,0.114126,0.888538,0.730165,F
-1.13505,-0.937252,-1.92121,-2.04057,-0.444261,-0.373469,0.450117,-0.164317,-1.92326,-0.199011,F
1.54202,0.314639,1.64203,1.71319,1.3945,1.05664,0.99799,0.749598,0.965813,1.42427,T
-0.086391,-0.213315,-0.178922,-0.132138,-0.607764,0.456182,0.593178,-0.75391,-0.842043,0.850578,T
-0.818061,-0.567127,-0.955906,-1.06668,-1.72704,-0.306563,0.521374,0.001145,-1.30552,-0.949481,T
0.099149,-0.556259,-0.607802,-0.46786,-0.132253,-0.926462,-1.02402,-0.507101,-0.830158,-0.232768,T
0.914962,0.347547,0.235323,0.122093,1.5602,1.08279,1.55783,2.21181,0.056917,1.51423,F
-0.788498,-1.28944,-1.05757,-0.929471,-0.455051,-1.09074,-0.392455,-0.212275,-1.61317,-0.403048,T
1.33129,0.694332,1.00439,0.88419,1.0154,1.17024,1.64428,0.365677,0.492348,1.22737,F
