Attr3252,Attr4847,Attr4196,Attr1882,Attr6041,Attr1834,Attr1745,Attr2111,Attr1779,Attr1829,Attr3320,Attr2288,Attr6201,Attr1674,Attr2121,Attr2402,Attr6919,Attr4366,Attr6005,Attr6806,Attr2363,Attr4951,Attr6281,Attr2020,Attr235,Attr6803,Attr1260,Attr760,Attr2546,Attr2642,Attr4973,Attr6225,Attr4052,Attr6797,Attr6855,Attr4328,Attr2354,Attr1249,Attr4653,Attr4229,Attr6967,Attr3183,Attr3847,Attr6373,Attr1291,Attr4936,Attr6185,Attr804,Attr2739,Attr1239,class
-0.698955,-0.300419,-0.68444,-0.548036,-0.876255,-0.533595,-0.662256,-1.2341,0.080182,-0.725963,-0.602,-0.519515,-0.584944,-1.14633,-0.399118,-0.475932,-0.45318,-0.872116,-1.26154,-0.719272,-0.601505,-1.72166,1.10359,-0.584887,-1.15569,-0.764749,-0.605501,-0.451677,-0.590382,0.285088,-0.400694,0.72987,-0.541759,-0.660801,0.542811,1.36623,0.128786,-0.814994,-0.05546,-0.740757,-0.394778,-0.541896,-0.927178,-0.575578,-1.18064,-0.030668,-0.696189,0.072262,-0.517762,0.393098,T
2.91627,-0.363784,-0.781816,-0.509996,1.59733,-0.622442,-0.520509,0.279492,-0.322968,-0.013585,0.36678,-0.561379,-0.560959,0.194485,0.357167,-0.577168,0.277198,1.0839,-0.335061,-0.715427,2.62833,1.09308,-0.693301,1.04402,1.62065,-0.718917,0.801511,-0.535443,3.56737,-0.921444,0.98119,-1.11848,-0.014409,-0.673386,-0.272468,-0.400783,-0.402112,-0.683947,0.688698,-0.144217,0.438451,1.91445,-2.07495,-0.549781,0.169916,1.33844,1.2664,-0.02461,-1.34347,0.986683,T
-0.539429,-0.546299,-0.659833,-0.539016,-0.766067,-0.52521,-0.218304,-1.21773,-0.489017,-0.608499,-0.438071,-0.492221,-0.55335,-0.07089,-0.867082,-0.575827,-0.640338,-0.298506,-1.39263,-0.399403,-0.684936,-0.809179,0.748316,-0.396031,-0.445993,-0.555493,0.22807,-0.490809,-0.839213,0.20813,-0.509002,-0.208351,-0.989008,-0.547775,0.308799,-0.755871,-0.674308,-0.403761,-0.574444,-0.815934,-0.647106,-1.10343,-0.617281,0.007637,-0.529369,-0.953784,-0.496194,-0.304393,-0.19875,-1.0323,T
-0.662931,-0.404501,-0.555679,-0.577883,-0.699016,-0.507337,-0.926554,-0.939195,-0.438579,-0.735121,0.12718,-0.505214,-0.592175,-0.994,-0.598722,-0.543318,-0.642248,-0.824183,-0.514596,-0.634738,-0.483335,-0.356457,0.554059,-0.064922,-0.593563,-0.727046,-0.713379,-0.455653,-0.483637,-0.002322,-0.166048,2.19141,-0.4333,-0.707338,0.368308,1.62655,-0.1784,-0.520905,-0.415577,-0.644456,-0.851804,-1.16464,0.410448,-0.795797,-0.742069,0.380733,-0.807812,-0.086024,-1.24038,0.683598,T
-0.91946,-0.509802,-1.12692,-0.559032,-0.507527,-1.12954,-0.603061,0.152384,-0.510095,0.213297,-1.01444,-0.565584,-0.611622,0.278615,-0.458318,-0.730848,-1.0902,-1.12297,-1.14815,-0.740895,-0.901994,0.391083,2.8961,-0.89784,-1.75246,-0.785746,-2.31948,-0.627401,0.01822,1.37654,1.41036,2.18808,0.565147,-0.743548,3.50334,1.51086,0.970998,-0.254353,-1.25954,-0.421124,-0.993184,1.58269,-0.796863,-1.30014,1.08265,0.113724,-0.93292,3.47173,-1.47678,2.76319,T
-0.571671,-0.738108,-0.464792,-0.559726,-0.63401,-0.499303,-0.363448,-0.305829,-0.527055,-0.473473,-1.09464,-0.504714,-0.554074,-1.30868,-0.943521,-0.488763,-0.78147,-0.951287,0.101955,-0.727302,-0.705302,-1.43202,1.36519,-1.60337,-0.630939,-0.804971,0.659955,-0.415213,-0.755007,-0.038586,2.81561,-0.245278,-0.228154,-0.80984,2.04246,1.07573,-1.00785,-0.340273,-1.84037,-0.554442,-0.697643,-1.185,-0.432017,-0.976633,0.215683,-1.73932,-0.770591,-0.724897,-1.05171,-1.25668,T
-0.655169,-0.693239,-0.953811,-0.554978,-0.673985,-0.481429,-0.592765,0.291351,-0.505859,-0.804491,-0.473055,-0.532166,-0.532875,-0.719519,-0.755386,-0.422369,-0.538584,-0.860831,-0.028861,-0.614326,-0.840186,-1.41896,-0.702947,-0.434621,-0.285279,-0.767803,-0.405159,-0.446697,-0.755818,0.914175,0.397786,0.726721,-0.903099,-0.623497,-0.825425,-1.0001,0.132223,-0.644439,-0.220399,-0.698935,-0.811082,-0.289096,-0.325404,-0.433798,0.136409,-1.64557,-0.756672,1.02681,-0.507916,-1.0198,T
-0.525202,-0.83004,-1.01361,-0.460224,-0.633928,-0.506903,-0.902299,-1.06233,-0.519131,-0.797645,-0.6119,-0.536753,-0.543722,-1.14548,-0.624085,-0.338051,-0.758917,-0.750107,-0.773698,-0.434432,-0.979461,-0.329007,0.280002,-0.241568,-0.07474,-0.393675,0.452131,-0.426037,-0.867977,-0.632559,-0.233685,-0.580638,-0.863174,-0.388213,-0.431336,-0.248433,0.311313,-0.774625,-0.36165,-1.20345,-0.670102,-0.993438,0.310244,-0.050706,-1.33128,-1.62409,-0.603921,0.471007,-1.09419,-0.385863,T
-0.696862,-0.714273,-0.543013,-0.597168,-0.521962,-0.852195,-0.397372,-0.617924,-0.527181,-0.482278,-0.557627,-0.577855,-0.562868,-0.760499,-0.651686,-0.437027,-0.500471,-0.425336,-0.345895,-0.886703,-0.058331,-0.596828,0.371777,-0.475887,-0.290669,-0.94436,-1.30299,-0.446252,-0.122933,1.04144,1.41537,0.661728,0.897379,-0.967112,0.974917,0.332433,0.408134,-0.684064,-0.626207,0.162742,-0.707526,-0.430571,1.14741,-0.479479,-0.030319,-0.126706,-0.693127,1.17895,-0.174658,0.540532,T
-0.573825,-0.378206,0.154108,-0.587216,-0.837986,-0.441783,-0.938278,-0.866369,-0.501847,-0.712194,-0.140593,-0.535705,1.17053,0.461165,-0.619613,-0.466415,-0.675172,-0.668463,-1.04228,-0.747383,-0.566933,-0.880894,0.441323,-0.289141,-0.809233,-0.79268,-0.491876,-0.489464,-0.352426,0.737058,-0.051486,1.30572,-0.736326,-0.906487,-0.559359,0.351272,-0.551642,-0.790976,-0.046991,-0.514998,-0.849856,-0.727271,-0.191763,-0.492254,-0.192007,-0.273372,-0.822597,-0.305916,-0.117158,0.745806,T
-0.626539,-0.548824,-0.49244,-0.540056,-0.362371,-0.675491,-0.668186,-0.669669,-0.495368,-0.693172,-0.596864,-0.500713,-0.553711,-0.959499,-0.626244,-0.553718,-0.550049,-0.301115,-1.06608,-0.771587,-0.843261,-0.625226,1.11577,-0.914442,-1.03695,-0.85951,-1.24436,-0.472576,0.045068,1.8822,0.776985,2.43722,-0.722348,-0.8221,1.19638,0.128263,0.925626,-0.669652,0.018104,-0.34041,-0.712667,0.083569,-0.908626,-0.559001,-0.130358,-0.186765,-0.708712,-0.380005,-0.85692,1.01893,T
-0.411325,-1.16331,-0.966071,-0.524403,-0.857564,-0.501368,-0.218739,-1.7159,-0.524553,-0.624706,0.132343,-0.566986,-0.537857,-1.06942,-0.271557,-0.506723,-0.603527,-1.35948,-0.650847,-0.290006,-1.00687,-1.08669,-0.564275,-0.630502,-0.222911,-0.230171,1.29547,-0.382842,-0.342657,0.484456,2.18485,0.605533,-1.00942,-0.180929,0.22035,-0.503708,-0.150866,-1.00833,1.08951,-1.41173,-0.858437,-0.513227,-1.29324,-0.331738,-1.50447,-1.37218,-0.989375,0.290142,-0.063295,-0.596335,T
-0.503443,0.497135,1.50277,-0.371543,0.0346,-0.346055,-0.185924,0.808576,-0.464909,-0.105826,0.34363,-0.501987,2.25285,1.00248,0.481295,-0.471322,-0.630242,-0.342864,-0.526339,-0.353414,-0.0438,2.02755,-0.609118,1.56493,-0.726051,-0.247221,-0.408005,-0.40297,0.518467,-0.965526,-0.550621,-0.98209,0.395891,-0.31671,-0.899859,-0.849488,-0.746203,2.89623,2.20394,-0.222661,-0.544757,0.773553,1.26127,0.666529,0.093633,0.345518,-0.154742,-0.411054,-0.362343,-0.361451,F
0.742518,1.27334,1.91828,0.694847,0.77855,0.47705,0.82956,-0.014928,-0.147408,0.301377,1.65205,1.50405,0.014045,0.094781,-0.12037,2.88258,2.22832,1.42557,-0.141229,0.304145,1.65618,0.568192,-0.407852,1.29221,0.70484,0.127027,0.873753,0.306755,-0.142505,-0.792131,-0.760018,-1.09321,1.96538,0.132105,-0.852113,-0.637892,-0.598403,-0.06019,-0.489818,1.03052,0.432929,-0.564586,2.58777,-0.344739,0.299621,0.518304,0.257317,-1.26286,-0.7143,-0.370306,F
0.816265,2.72645,2.37374,1.86081,2.26823,1.38622,2.33883,1.47299,-0.482174,3.38292,2.8127,1.57243,0.562428,1.13347,2.13626,1.07148,0.742311,1.27604,2.57974,0.895899,1.31423,-0.172084,-1.49876,1.6955,1.44241,0.760552,2.56113,3.97682,0.306374,-0.861466,-1.50572,-1.20731,1.26804,1.06417,-1.05631,-0.704418,-0.952682,1.63902,0.302727,1.57151,2.39576,2.06103,1.76269,2.51611,1.69833,1.03062,2.95045,-0.632391,1.52465,-0.006764,F
2.02431,0.135378,0.86303,0.722325,-0.159089,2.19653,0.386286,1.43911,1.33788,1.50985,2.06646,0.956275,-0.189243,0.279085,0.682255,0.792867,1.0335,0.220833,1.4663,1.36682,0.428323,1.36611,-0.751904,1.02071,1.38075,1.09972,0.740999,-0.05357,1.64685,-0.851517,-1.2389,-0.74514,2.54633,0.619755,-0.773659,-0.564824,-0.8154,0.083457,1.10947,0.274198,0.841895,2.10932,2.49969,0.085667,0.547496,1.44655,1.31547,-1.12243,0.341758,-0.468623,F
-0.554628,1.12828,-0.041503,1.57609,0.654375,0.702878,2.47668,2.30327,-0.50119,0.697623,1.42912,-0.453719,1.76387,1.38522,1.71373,-0.398749,-0.188887,-0.326981,0.519746,0.734005,-0.065804,-0.332708,-0.450042,0.780815,-0.216888,1.32057,-0.233671,-0.361204,2.53697,-0.864499,-1.27949,-0.54865,-0.140198,1.2527,-0.510533,-0.848578,-0.851426,1.28843,1.22008,0.141607,0.732362,1.20645,2.02393,0.345665,0.166015,0.575686,1.11645,-0.075807,1.00539,-0.146117,F
1.29628,1.16473,1.7167,0.051335,2.00265,-0.144185,3.0448,-0.107399,0.746826,-0.353458,-0.082864,0.06531,3.21405,1.66652,-0.145003,0.111165,0.682635,1.23703,1.51926,2.70527,1.93395,0.331965,-1.70488,2.74012,-0.558706,2.70403,-1.09412,-0.06234,0.914742,-0.966446,-1.58059,-0.787162,0.32376,2.94828,-1.12721,-0.721115,-0.567327,1.19592,1.63382,0.357138,-0.283421,1.74028,1.90117,1.50055,0.017419,-0.116885,0.601991,-0.461026,0.873974,-0.503056,F
2.07794,0.98079,1.76655,-0.27943,-0.041588,2.4218,1.24055,1.41661,0.635857,1.87495,1.37983,0.957302,0.936433,0.310104,1.06972,1.78356,0.428326,0.308542,0.483193,0.31776,1.51913,0.745683,-1.00851,1.46922,1.34769,0.294796,2.25743,-0.145476,1.47778,-0.713501,-0.837212,-0.899512,1.85621,0.361845,-0.903153,-1.00704,-1.03563,0.740326,0.987397,0.556793,1.05412,0.709074,0.914357,1.79926,2.78618,0.059356,0.506826,-1.20858,0.222492,-1.10634,F
0.95268,-0.120407,0.132511,-0.274433,0.063101,1.09006,0.099875,-0.603539,2.07699,1.24246,1.13572,-0.538242,-0.526202,-0.468096,0.40768,-0.327416,0.064933,-0.089933,0.634923,-0.205703,-0.275413,1.87919,-1.08897,0.877324,0.598539,-0.195678,0.635508,-0.034628,0.451515,-0.698773,-0.842463,-0.706677,-0.004394,-0.204013,-0.656913,-1.08858,-1.12404,-0.608564,-1.01926,-0.252182,-0.373812,0.159654,0.062263,0.925566,0.553015,-0.434724,-0.125504,-1.12521,0.526361,-0.924187,F
1.57582,1.78795,2.06189,2.24999,2.88898,0.886895,2.17538,2.2572,-0.240822,2.96686,2.71834,0.71308,2.27509,1.90358,3.23413,0.664935,3.75562,1.66038,3.05543,3.17302,1.12302,0.226611,-1.62221,0.801423,1.49487,3.07712,1.31734,2.61976,-0.37365,-0.977391,-1.43991,-0.752759,1.1754,3.23611,-1.22794,-0.738472,-0.796997,2.16526,1.00195,2.13162,2.91563,-0.003523,0.387237,1.84187,2.45836,0.800015,2.86663,-1.08993,2.75491,-0.652052,F
0.175134,0.662496,1.57141,1.64813,1.10223,-0.136808,1.99015,1.73025,-0.375154,1.02071,1.32334,1.4019,2.85011,1.5892,1.50441,1.06047,2.47359,-0.079584,0.571064,2.66895,0.161956,1.27577,-1.22122,1.66808,-0.187811,2.67122,0.576315,1.27802,-0.511414,-0.890674,-0.775171,-0.962772,0.235778,2.89115,-1.08978,-1.14416,-0.926291,1.9892,1.12358,0.985224,0.14411,-0.500427,1.14418,3.25749,-0.460239,0.891023,1.35365,-0.713176,-0.131195,-0.738318,F
0.034248,0.175474,-0.680418,-0.265099,-0.15696,-0.313818,0.012757,1.66705,0.395664,-0.522802,1.15398,-0.025924,1.25153,1.50397,-0.289541,-0.105446,-0.64256,-0.069896,1.81203,-0.430903,-0.735074,0.531071,-1.2889,1.27661,-0.555517,-0.182698,0.36824,0.224149,0.212204,-0.864324,-0.800067,-0.52593,1.17577,-0.251752,-0.928419,-1.30045,-0.656581,0.058073,1.94388,-0.698412,-0.832302,0.128773,0.949073,0.41977,0.114883,0.433035,-0.740433,-0.831293,-0.035877,-1.45301,F
-0.521302,-0.678959,-1.07345,-0.55166,-0.884147,-0.454162,-0.742778,-0.08454,-0.439346,-1.18953,-0.20545,-0.557649,-0.441835,-0.751694,-0.787464,-0.442222,-0.325499,-0.714395,-0.436526,-0.660291,-0.788236,-0.611454,0.496574,-0.661666,0.033591,-0.675407,-0.097047,-0.450434,-0.557051,3.21894,0.40123,0.171283,-0.682194,-0.747624,0.585927,0.632786,0.189641,-0.553072,0.358947,-0.896796,-0.932069,0.286246,-0.698864,-0.53639,-0.925659,-0.408493,-0.789063,0.572294,-0.688115,1.47617,T
-0.521593,-0.70825,-0.635742,-0.525482,-0.599274,-0.206977,0.185797,-1.01471,-0.524474,-0.934008,-0.224616,-0.622066,-0.53522,-1.17837,-0.73042,-0.395806,-0.452005,-0.469568,0.899021,-0.736824,0.39196,-0.786982,-0.265763,-0.789692,0.00024,-0.764484,-0.414364,-0.42934,0.215503,-0.302626,0.706486,1.70017,-0.677204,-0.798747,-0.401915,-0.349104,-0.989774,-1.07093,0.191079,-0.687684,-0.843773,-0.962391,-0.635386,0.325442,-0.932735,-0.162757,-0.674645,-0.628834,-0.728448,-0.600138,T
-0.591709,-0.634837,-0.683167,-0.565077,-0.469493,-0.687658,-0.296047,-0.568437,-0.517424,-0.291481,-1.03587,-0.501822,-0.579,-0.983958,-0.667881,-0.4261,-0.65463,-0.562598,-0.808322,-0.544353,-0.288277,-0.249862,1.14145,-1.46602,-0.106296,-0.597549,-0.379653,-0.371706,-0.510086,0.286445,1.10611,0.455726,0.039124,-0.546102,0.6577,0.303914,1.38045,-0.564706,-1.0882,-0.096671,-0.60221,-0.679282,-0.320128,-0.893151,-0.021353,-0.687596,-0.715766,0.301434,-0.944602,-0.197369,T
-0.6624,-0.754648,-0.745284,-0.504106,-0.238905,-0.575608,-0.656541,0.477933,-0.359711,-0.796541,-1.54256,-0.515076,-0.393213,-0.044556,-0.727262,-0.495155,-0.236948,-0.305294,-0.47286,-0.128035,-0.788659,-0.212835,-0.082984,1.05011,-0.786529,0.304736,-0.897633,-0.407762,-0.954916,0.636274,1.14692,-0.61696,1.69364,0.297175,0.938362,0.010941,0.921025,-0.114949,-0.873381,-0.631564,-0.709871,-1.13917,0.411009,0.112764,0.089188,-0.142504,-0.646155,0.388849,-0.570885,0.974796,T
-0.395312,-0.796828,1.18128,-0.551662,-0.715326,-0.572572,-0.632491,-0.834268,-0.321522,-0.235699,-0.76261,-0.49018,-0.555313,-0.364919,-0.572736,-0.174286,0.458195,-0.466497,-0.198943,0.350316,-0.57895,-0.68058,0.00289,0.315415,-0.028111,0.274113,-0.472662,-0.229005,-0.819811,0.05697,0.021297,0.743111,0.375609,0.382,1.37436,0.184034,0.161289,-0.785565,-0.349331,-0.596039,-0.273783,-0.74096,-0.112791,-0.782629,-0.304253,0.356096,-0.128249,-0.351402,-0.532967,-1.09397,T
-0.727484,-0.867476,-1.02445,-0.446681,-0.654509,-0.48364,-0.582219,-0.319647,-0.525639,-0.128534,-1.30226,-0.470702,-0.570695,-0.765133,-0.668221,-0.485578,-0.456039,-0.681021,-0.99109,-0.425238,-0.828957,0.617627,1.68599,-0.913526,-0.865159,-0.501693,-0.418003,-0.444951,-0.947166,3.14214,0.75611,1.17452,-0.514214,-0.533905,1.31783,1.10175,1.08375,-0.799659,-1.25322,-0.323602,-0.749894,-0.637126,-0.670796,-0.960731,-1.00212,-0.516766,-0.81435,1.26318,-1.1088,0.782378,T
-0.581599,-0.804721,-0.623842,-0.521849,-0.032737,-0.493263,-0.801422,-0.664843,-0.538533,-0.245714,-0.937053,-0.465813,-0.543672,-0.07092,-0.516187,-0.433819,-0.443913,-1.05655,-0.580034,-0.787062,-0.780168,1.17788,0.661919,-1.1559,-0.268143,-0.762639,-0.314607,-0.423319,-0.549945,0.482258,0.207718,0.818884,-0.54181,-0.763955,0.436207,0.346376,1.81161,1.28613,-1.60059,-0.260191,0.661217,-0.1779,-0.670907,-0.919933,0.052296,-0.395675,0.249243,-0.090504,0.120375,0.367057,T
-0.645466,-0.761855,-0.984981,-0.530449,-0.66336,-0.727455,-0.70933,-1.16272,-0.522275,-0.058432,-0.805493,-0.487405,-0.573746,-0.059936,-0.440507,-0.515714,-0.503145,-0.772057,-0.648744,-0.677157,-0.632818,-1.11087,0.621353,-1.04741,-0.211458,-0.709776,-0.185653,-0.472861,-0.791335,0.213823,0.211771,0.583925,-0.680226,-0.580661,0.044271,0.433379,1.55817,-0.201115,-0.652223,-0.45929,-0.297118,-0.848328,-0.554765,-0.891699,-0.704485,-0.342508,-0.310181,-0.22091,-0.785865,-0.484422,T
