Attr3252,Attr4847,Attr4196,Attr1882,Attr6041,Attr1834,Attr1745,Attr2111,Attr1779,Attr1829,Attr3320,Attr2288,Attr6201,Attr1674,Attr2121,Attr2402,Attr6919,Attr4366,Attr6005,Attr6806,class
-0.727484,-0.867476,-1.02445,-0.446681,-0.654509,-0.48364,-0.582219,-0.319647,-0.525639,-0.128534,-1.30226,-0.470702,-0.570695,-0.765133,-0.668221,-0.485578,-0.456039,-0.681021,-0.99109,-0.425238,T
-0.581599,-0.804721,-0.623842,-0.521849,-0.032737,-0.493263,-0.801422,-0.664843,-0.538533,-0.245714,-0.937053,-0.465813,-0.543672,-0.07092,-0.516187,-0.433819,-0.443913,-1.05655,-0.580034,-0.787062,T
-0.645466,-0.761855,-0.984981,-0.530449,-0.66336,-0.727455,-0.70933,-1.16272,-0.522275,-0.058432,-0.805493,-0.487405,-0.573746,-0.059936,-0.440507,-0.515714,-0.503145,-0.772057,-0.648744,-0.677157,T
-0.55863,-0.546563,-0.275451,-0.522517,-0.448167,-0.181655,-0.544284,0.026849,-0.403136,-0.5695,-0.164445,-0.406133,-0.54124,-0.71438,-0.603521,-0.402857,-0.656009,-0.702949,-0.428918,-0.60619,T
-0.773564,-0.408515,-0.635221,-0.601937,-0.346045,-0.732001,-0.957845,-0.029976,-0.515024,-0.777745,-0.839137,-0.557504,-0.592512,-0.078582,-0.579345,-0.518183,-0.650712,-0.466485,0.217486,-0.851811,T
-0.555319,-1.05815,-0.865401,-0.47734,-0.956005,-0.004959,-0.476121,-1.38302,-0.310841,-0.727007,0.112773,-0.528823,-0.545922,-1.24927,-0.131459,-0.515438,-0.161844,-1.32518,-0.616927,-0.299203,T
1.31224,2.6848,1.31896,1.48623,1.43839,1.14739,2.62432,1.55733,0.981413,1.1996,1.38008,1.45799,1.87066,1.65306,1.29352,1.33851,1.40608,2.47151,2.8486,1.0541,F
0.965867,0.591543,1.17044,-0.07373,0.206763,0.521266,1.78309,0.283055,1.11667,0.842926,1.26351,2.35683,3.14391,0.74074,-0.064507,2.33964,2.85245,0.627972,0.991966,0.50925,F
0.453253,0.360593,0.917357,2.39323,1.21183,2.51398,1.25696,1.28479,-0.401339,2.76261,-0.928236,1.53877,-0.471871,1.98462,3.88072,-0.275215,2.12965,3.2484,1.21313,3.23866,F
0.707383,1.35608,1.10399,2.97982,1.23127,0.557456,0.81159,1.35475,0.8735,0.025726,2.48096,4.96756,0.864447,1.54039,1.03863,1.67774,1.45595,0.50674,1.33201,1.25753,F
0.065116,1.73465,1.22019,1.25302,3.1165,0.392011,0.047978,0.89,3.01414,0.471043,-0.364046,0.7537,-0.588025,-1.53203,1.18623,1.96013,0.431295,1.37055,0.093571,-0.389567,F
-0.548593,-0.233028,-0.390233,-0.471283,-0.385648,-0.374164,-0.613581,-0.574789,-0.13928,-0.510732,-0.454576,-0.475156,-0.56373,-0.70168,-0.837543,-0.238912,0.201151,-0.485248,-0.765996,0.085853,T
-0.390714,-0.672062,-0.71419,-0.441129,-0.567147,-0.200596,-0.678611,-0.525418,-0.466049,-0.685716,-0.345304,-0.457654,-0.567889,-0.853285,-0.435715,-0.401106,0.056277,-0.659656,-0.899734,-0.318494,T
1.08111,0.631347,1.90354,0.020751,0.966319,1.23616,-0.264555,-0.058506,1.132,1.25933,-0.584872,2.51485,-0.539611,0.572236,1.23142,4.35139,2.32673,0.388261,0.03332,-0.260686,F
1.16061,0.812712,0.031138,1.69614,0.301723,0.654991,0.35987,-0.377115,1.60741,-0.683367,1.18361,1.11735,-0.206675,1.18143,0.268781,-0.139207,0.911026,-0.149647,0.378968,1.98081,F
-0.505623,-0.536367,0.323504,-0.500107,-0.61034,-0.420843,-0.68714,-0.084687,-0.09866,-0.54523,-0.830983,-0.454213,-0.582935,-0.772085,-0.184534,-0.104174,0.35774,-0.483012,-0.296447,0.132371,T
1.29628,0.430382,2.14976,-0.135265,0.850531,0.000193,-0.412256,0.052749,3.65932,0.191866,-0.674715,0.562036,-0.54024,-0.559897,-0.238695,3.53274,1.11304,0.891959,0.34264,0.243854,F
3.35959,1.09979,-0.76613,-0.519619,0.343178,0.356048,-0.31475,0.754681,4.07927,1.1101,-0.322829,0.149769,1.98329,1.15188,-0.074826,-0.160783,-0.589488,1.12929,0.425245,-0.03557,F
0.623781,3.10425,0.510817,3.28424,1.619,2.4404,1.23026,2.10181,-0.133746,1.91201,-0.455592,0.9282,-0.530259,2.55484,1.47601,-0.358538,-0.008329,3.05119,1.23475,2.85482,F
2.6497,2.62133,0.545483,2.76957,3.31633,3.07267,2.36322,2.43686,0.405491,1.6015,1.28085,1.76196,1.14437,1.61836,1.19161,-0.192165,0.912685,2.45681,1.68871,1.14106,F
0.935854,1.44144,0.780321,-0.035012,0.277637,3.61309,0.782227,0.669848,0.053015,1.77458,1.91972,0.234306,-0.139549,-0.842424,2.90098,-0.107442,0.201445,1.11529,1.28171,-0.669854,F
1.40867,0.572083,0.650785,1.73399,0.408119,0.48982,0.02653,0.900471,2.4228,0.224422,1.42068,0.942962,0.808159,2.07481,-0.271967,0.255384,0.257007,0.756907,-0.21141,-0.029653,F
-0.367617,-0.433151,0.023792,-0.172229,-0.060519,0.050995,-0.286605,-0.784684,-0.473534,-0.424275,-0.562615,-0.505121,-0.454251,-0.416589,-0.444636,-0.475139,-0.607253,-0.179639,-0.998657,-0.605301,F
-0.636863,0.687255,0.383979,-0.179145,0.286854,-0.347382,0.955395,0.796393,-0.543854,-0.415727,-0.369677,-0.43189,0.51771,0.739003,-0.079613,-0.465171,-0.841167,1.43088,-0.507721,-0.010431,T
-0.842437,0.276769,-0.382675,-0.540475,-0.236162,-1.03604,-0.55806,-0.333782,-0.530883,-0.000257,-0.473066,-0.478556,-0.559741,-0.38437,-0.598225,-0.477064,-0.564479,-0.428125,-1.10263,-0.341175,T
-0.826115,-0.653284,-0.429812,-0.601517,-0.428725,-0.666473,-0.518124,-0.188349,-0.419014,-0.666223,0.081127,-0.513532,-0.582885,0.162347,-0.400578,-0.53183,-0.76986,0.151919,-0.864595,-0.657181,T
-0.531951,-0.735262,-0.953381,-0.491548,-0.70359,-0.486344,-0.323159,-0.690814,-0.35734,-0.198136,-0.655105,-0.55062,-0.52529,-0.648265,-0.636524,-0.417602,-0.471567,-0.593205,-0.967599,-0.27134,T
-0.681127,-0.482294,-0.701902,-0.553464,-0.769129,-0.595319,-0.735269,-0.250217,-0.548018,-0.805792,-0.397873,-0.483056,-0.088911,-0.3807,-0.630073,-0.441121,-0.422569,-0.407598,-1.27036,-0.631725,T
-0.610598,-0.567446,-0.636032,-0.471444,-0.610563,-0.458287,-0.491642,0.360756,-0.477601,-0.757564,-0.323774,-0.494472,-0.541645,-0.342396,-0.955713,-0.527748,-0.624951,0.473385,-0.962231,-0.805248,T
