gene249,gene493,gene245,gene267,gene1635,gene1423,gene897,gene377,gene765,gene1494,gene822,gene625,gene1884,gene513,gene1843,gene365,gene1897,gene1772,gene66,gene1771,normal
-1.13318,-1.18657,-0.554129,-0.636327,-1.26036,-0.620604,-0.407127,-0.407664,-0.369369,-0.367771,-1.3793,1.75803,-0.96812,0.063423,-0.297283,0.08064,-1.0198,-0.568381,-1.03951,-0.313474,T
-0.984725,-1.05708,-0.271837,-0.270868,-0.910873,0.421138,0.006286,-1.05026,0.021763,0.259273,0.149353,0.216811,-1.14047,-1.09813,0.271729,1.28476,0.185582,-0.877117,-0.421274,0.781849,T
0.33453,-0.549997,0.51071,0.268957,1.20411,-0.475018,0.612448,-0.692001,0.16038,1.02955,-0.705752,0.686197,-0.579563,0.144957,0.685075,0.83234,1.04968,0.81241,-0.412021,1.70758,T
-0.692988,-0.728455,0.010609,-0.012572,-0.102644,-1.21846,0.674838,-0.612216,0.041811,-0.838719,-1.86355,1.44673,0.176834,0.911769,0.099985,1.37708,-0.511323,0.968299,-0.580977,0.545889,T
-0.220623,-0.913241,-0.585252,-0.135017,-0.87417,-0.658125,-1.48187,-0.967186,-1.0495,-0.468248,-0.015254,0.963104,-2.00917,1.17623,-0.475803,0.436005,-0.492967,-0.016946,-0.890587,0.711906,T
-0.137305,-0.338867,-0.235878,-0.233203,-0.726664,-0.08603,-0.847921,-0.686497,0.081342,-0.302558,-0.306749,0.464888,-0.701095,0.523315,-0.508788,1.55395,-0.619237,0.409844,-0.801662,0.251491,T
-0.96071,-1.83724,-0.493992,-0.427805,-1.17339,-1.55807,-1.62951,-1.65309,-0.819163,-0.924916,-1.17079,0.906277,-0.648073,1.9771,-0.427654,1.49351,-0.347906,1.42405,0.096101,1.59438,T
-1.32711,-0.570915,-0.824537,-0.907698,-0.315049,0.217732,-1.92973,-0.659746,-0.832429,-0.501954,-0.946913,-1.09858,-1.43402,0.032917,-0.545404,-0.441315,-2.02874,0.013102,-1.67856,0.126975,T
-0.874957,-1.21756,-0.4659,-0.418818,-0.97314,-1.02148,-0.90955,-1.6452,-0.091932,-1.13372,-1.56245,0.895546,-0.071088,1.58568,-0.654783,1.46414,-1.04048,1.89099,-0.486793,2.05264,T
1.42795,0.547207,1.55867,1.63522,1.59878,1.49866,0.847055,1.39393,1.33909,1.32769,1.66941,-1.51859,1.9461,-1.15065,1.57446,-0.615197,1.39719,0.251978,1.11845,-0.170718,F
-0.399723,-0.738518,-1.14452,-0.735687,-0.620758,-0.388182,-0.023602,-0.347112,-2.1303,0.440002,0.126097,1.64226,-1.1797,0.68662,0.265437,0.341311,0.222363,1.21453,-0.358772,1.13525,T
-0.330386,-0.977785,-0.672152,-0.814496,-0.772532,0.17575,-0.52569,-0.970712,-0.800751,-0.176926,0.634039,0.415664,-0.741256,0.104618,-1.10662,-0.6502,-0.305673,0.092202,-0.843908,0.46251,T
0.864822,0.366829,0.939563,0.941415,1.10535,0.418571,1.30075,1.48753,0.109645,0.649451,0.874733,-1.35399,-0.284576,-0.457184,0.611988,-0.457836,0.981231,-0.035654,0.93777,-1.19041,F
1.59623,1.62195,0.089644,0.317687,1.15657,1.32519,1.10464,0.923745,0.953207,1.86291,1.41252,-0.171267,1.61679,-0.420457,1.21153,-0.876652,2.15037,-2.749,0.600446,-0.344454,F
-0.519955,-1.03132,-0.850672,-0.507966,-0.59211,-0.664787,-0.383528,-0.600602,-0.853935,-0.082354,-0.540821,1.41426,0.38354,1.53426,0.295547,1.21839,-0.155531,-0.122918,-0.554353,-0.119256,T
0.599858,0.43863,0.611852,0.551036,1.08682,0.937619,1.24151,-0.09786,-0.01211,1.10551,0.858329,-0.868588,0.824277,-0.864145,1.24167,-0.749135,0.24657,-1.89395,0.199548,-2.02135,T
-0.555301,-0.636079,-1.16856,-0.844443,-0.50069,-1.46176,-0.306894,-0.61041,-0.898644,-0.648994,-0.741258,0.86473,-0.122161,1.47687,-0.97647,1.29923,0.037054,1.03858,-0.42201,0.776607,T
-0.812223,-1.81962,-0.69526,-0.887238,-0.473529,-1.42388,-1.43747,-1.84239,-1.31511,-1.16982,0.03238,-0.586901,0.196685,1.57361,-1.47666,-0.62817,-0.59695,0.720509,-1.16559,0.448353,T
0.722843,-0.045496,-0.437148,-0.287848,2.03197,0.939908,1.2743,1.19715,-0.406948,1.67218,1.13283,-1.04714,2.11149,-1.44487,1.71361,-1.82877,1.18468,-2.02707,0.822526,-0.32067,F
1.05895,1.02057,1.01145,1.12261,1.76835,0.928112,1.56699,0.70518,0.135997,1.39229,1.38981,-0.390316,1.52619,-0.959614,1.24374,-1.57021,0.832899,-0.577775,0.970187,-1.17226,T
1.57605,1.77076,1.5735,1.56643,1.15771,1.66433,1.07333,-0.193367,0.939973,1.51957,1.43652,-0.742501,0.464037,-0.448451,1.27054,-0.585003,2.32443,-0.648038,0.220449,0.454598,F
0.030126,0.0915,-1.1418,-1.29431,0.256466,-1.23214,-1.47911,-0.137593,-1.27574,-0.998734,-0.814681,0.408603,0.978003,-0.076921,0.32156,1.56077,-0.570807,-1.01455,-0.601971,-0.10376,F
-0.157616,-0.605867,-0.70697,-0.528896,-0.714096,-2.399,-0.965835,-0.761555,-0.477421,-1.66023,-0.338188,1.10302,-0.022909,0.302623,-0.987474,1.59749,-0.005134,1.63779,0.701599,1.29574,T
-0.089325,-0.502564,-0.373917,-0.417712,-0.418085,-0.911255,-0.466957,-0.552491,-0.504203,-1.1708,0.002858,0.61061,0.789164,-0.301566,-0.879937,0.331564,-0.210578,0.988891,0.07843,0.299417,T
1.40224,0.448844,1.64685,1.6256,0.74671,1.36077,0.570068,0.114126,0.888538,0.730165,1.68828,-1.8871,1.14845,-0.643549,0.530078,-0.758717,1.67077,-0.660027,1.40136,-0.953051,F
-1.13505,-0.937252,-1.92121,-2.04057,-0.444261,-0.373469,0.450117,-0.164317,-1.92326,-0.199011,0.406752,-0.107927,-1.7595,0.648747,0.637037,0.496358,0.382629,-0.873236,-0.238865,0.614929,F
1.54202,0.314639,1.64203,1.71319,1.3945,1.05664,0.99799,0.749598,0.965813,1.42427,1.29745,-0.480854,0.828841,-0.123349,1.37309,-0.535473,1.98581,0.010416,1.69637,0.148174,T
-0.086391,-0.213315,-0.178922,-0.132138,-0.607764,0.456182,0.593178,-0.75391,-0.842043,0.850578,0.737576,-0.726459,-0.70359,-0.755456,-0.009444,0.075539,0.643845,0.070715,0.208673,0.017456,T
-0.818061,-0.567127,-0.955906,-1.06668,-1.72704,-0.306563,0.521374,0.001145,-1.30552,-0.949481,0.611445,0.19067,-0.368346,0.468686,-0.730315,0.357336,-1.26724,0.204608,-0.440247,0.297445,T
0.099149,-0.556259,-0.607802,-0.46786,-0.132253,-0.926462,-1.02402,-0.507101,-0.830158,-0.232768,-0.120651,0.844114,-0.552425,1.57332,0.073097,1.75677,0.257595,0.82643,0.59326,0.653618,T
0.914962,0.347547,0.235323,0.122093,1.5602,1.08279,1.55783,2.21181,0.056917,1.51423,1.25762,-0.626193,1.85641,-1.04297,1.52578,-1.78299,0.955241,-0.871819,0.609682,-1.08435,F
-0.788498,-1.28944,-1.05757,-0.929471,-0.455051,-1.09074,-0.392455,-0.212275,-1.61317,-0.403048,-0.690955,1.41968,0.514603,0.997405,-1.15589,1.369,-0.894954,-0.220162,-0.53026,0.467367,T
1.33129,0.694332,1.00439,0.88419,1.0154,1.17024,1.64428,0.365677,0.492348,1.22737,1.04098,-0.100459,0.808096,-0.656707,1.03969,-0.280169,1.66272,-0.173695,1.10655,0.017027,F
