PLS1_1,PLS1_2,PLS1_3,PLS1_4,PLS1_5,PLS1_6,PLS1_7,PLS1_8,PLS1_9,PLS1_10,PLS1_11,PLS1_12,PLS1_13,PLS1_14,PLS1_15,PLS1_16,PLS1_17,PLS1_18,PLS1_19,PLS1_20,Class
21.296483,-10.345971,3.030307,-11.331956,12.014991,1.462528,-4.612938,-3.736689,8.694541,2.755077,3.222793,7.656921,2.671907,2.560483,2.633252,-1.991938,-0.5181,2.631384,5.432377,6.432123,F
-19.747975,1.309682,-1.087029,-4.511754,12.072161,3.905715,-2.464752,-14.520251,5.822597,-11.001982,-2.951819,0.782169,0.027655,0.61449,0.75582,2.643896,-8.601706,0.666412,3.966108,5.158085,T
14.028304,-2.274035,-3.789246,7.063457,-9.925076,-6.506972,-2.096164,-5.087974,3.448346,-0.907026,9.827909,5.00201,-2.046141,-4.278701,-0.205687,7.100326,2.512856,-0.702207,-5.494756,3.562751,F
7.922121,5.959628,-14.971157,3.907141,4.774233,-0.963057,9.202455,-8.276273,12.299687,4.164895,-4.813657,-2.60273,-0.871502,-1.496833,3.022426,10.098279,0.666383,-0.853603,5.71994,-2.355116,F
-16.499009,-9.007914,5.059311,7.569618,-7.49918,-7.626785,-2.574602,-11.386889,-5.524814,1.34208,-7.180134,-10.389753,8.29505,-3.765598,-5.799482,0.319424,-1.052735,0.388041,4.887428,1.079385,T
-11.833071,-13.523041,-2.00038,3.055172,-11.143,5.815197,-0.486252,-12.630754,-5.907129,4.132883,5.676515,0.025235,-11.504873,-5.31495,2.088485,-7.114321,5.055653,-1.159333,0.411576,5.444449,T
16.141772,-15.359649,10.178303,4.749185,-6.932706,5.706658,0.781717,-3.559492,-9.5608,-2.514773,5.58749,2.47323,1.712477,5.853296,1.267873,-11.008181,-0.216429,-3.213796,4.40615,-2.933887,F
-12.296848,2.051361,1.911674,14.578062,7.913524,18.662339,0.492497,2.587934,13.254873,8.289426,6.277011,7.201334,-0.231839,3.955815,2.427715,-1.118312,-3.102304,-4.529942,-0.591988,-2.159932,F
14.724282,-9.044562,17.21432,6.869859,-7.252717,-3.51905,-4.439371,-12.794406,-11.67066,-5.966769,-0.172037,-1.737661,-1.637451,-1.540391,3.119473,-2.879072,6.002007,1.7187,3.716547,-4.043757,F
10.814113,-3.041837,12.247959,-3.293885,10.252931,8.944045,-1.447513,-14.399754,-3.925368,-3.15126,4.033787,-9.98883,-6.009059,0.532989,2.986461,-7.301485,0.735704,-0.206689,4.159017,-7.693036,F
-17.660276,-0.794993,-5.095967,-6.599671,1.010777,20.320406,-5.552513,-12.610491,2.191661,4.150435,-0.104083,0.813623,1.797541,5.781659,8.080988,4.889661,-1.701834,-6.497873,5.282663,-1.185801,T
-14.766406,3.38884,8.089069,18.796997,-4.279977,21.970096,9.201051,6.280249,6.661123,-1.938577,3.476456,-1.866209,1.598305,-3.238384,-0.858306,3.515664,-0.816883,1.362551,1.369802,0.334097,F
-15.033882,-2.207053,1.215682,-0.61612,-11.807602,-10.229964,-2.163,-2.486893,8.230028,-3.376236,0.730562,0.417458,-6.850726,5.049538,-0.261035,-6.280417,-4.652963,6.066151,-1.348622,2.945918,T
-1.385182,-3.792165,-8.519347,-13.935904,-16.403205,-5.189323,0.915436,9.283402,14.61759,-15.367037,7.093949,-5.681638,9.174552,-3.2398,2.263991,-2.808607,1.261136,-2.019344,-1.70405,4.427318,T
10.170749,-8.975619,4.712945,1.771035,0.538855,-8.435618,10.480703,3.401055,15.306615,1.191348,4.57172,-0.484741,4.959069,-6.276974,1.765252,1.571556,0.989203,2.541037,0.223185,1.577627,F
4.815574,3.295946,-2.502946,3.594522,4.318447,-4.465624,8.128602,-0.661317,14.797433,-2.600168,-1.266345,0.696934,7.080896,-3.196142,-3.198682,0.132813,2.504831,0.127603,-0.299148,1.073365,F
-19.52219,4.278396,-0.071804,-1.665558,2.638751,-11.987445,-6.129213,-15.407669,8.433844,1.709448,-1.287241,-3.267734,2.21347,-2.818352,4.134114,0.18388,4.48675,-2.701569,-8.387791,-2.775923,T
1.467853,2.540329,-0.74745,-18.812588,-38.346296,-7.425938,0.799512,-0.807992,8.150677,5.721556,0.669897,-1.115422,2.968127,5.247619,-3.597421,-1.746057,-5.73516,5.587041,2.808894,-9.110481,T
-11.991998,0.808538,20.705359,12.550865,4.796088,9.332578,7.295543,-10.677188,5.232877,5.006589,-1.177653,1.91329,8.947346,6.361311,-4.492585,-3.814437,2.976132,0.705326,-5.838866,5.215525,F
-7.408965,26.475635,11.713047,-4.362858,-4.209492,1.142251,19.645607,-11.883566,-0.883432,-2.495556,-0.325417,-1.149796,-4.834194,4.620859,-4.188416,-0.169828,3.734894,1.831932,-3.12819,-1.248436,F
13.485952,7.560446,-10.863053,6.769911,-7.902856,-6.933432,-0.681335,-8.494581,-2.5384,-3.059015,0.638687,-6.317464,7.154798,4.388865,-1.354596,6.140823,-5.807252,-5.830424,0.879045,3.32498,F
9.40035,-0.616055,2.485276,4.206198,2.612984,-4.873165,1.533565,-3.684474,8.607688,-10.320465,3.068044,0.109056,-1.230348,1.644189,0.637116,0.760067,-0.681776,0.208091,-0.383888,0.046871,F
-16.11081,-5.876214,-17.433449,0.537764,-10.991529,20.19843,4.964435,3.260101,13.379889,3.500937,-1.961071,-7.144282,-4.396962,-2.619244,-2.915147,0.41876,1.329956,5.585391,4.72412,-2.178356,T
11.979841,0.153106,0.565443,0.102451,-13.928162,2.508655,12.0966,1.137193,7.699234,-4.199209,-1.849477,6.450294,1.894506,-1.097579,-1.694204,4.893854,5.510434,-3.413196,-3.527742,-4.456066,F
-12.645018,-6.810364,2.120335,1.366666,-12.833163,-2.84481,2.671518,-10.77454,-4.444371,-7.608313,-5.20437,5.249138,0.515737,0.493603,-0.457142,0.215476,-0.89986,0.223256,-5.380275,2.967914,T
