PLS1_1,PLS1_2,PLS1_3,PLS1_4,PLS1_5,PLS1_6,PLS1_7,PLS1_8,PLS1_9,PLS1_10,Class
-6.162088,51.7617,56.959573,-10.834253,-0.354983,-6.984908,10.270309,-7.849967,-0.567238,4.748906,F
-33.589248,-25.98524,5.257609,7.273203,-4.657077,5.654123,5.290044,-2.173566,-7.078603,-11.031995,T
-28.707482,0.864682,-16.429203,-4.631505,-11.270803,6.699603,2.461884,9.711995,-6.863689,-7.967181,T
-20.193102,-27.260348,-43.777726,5.248453,8.553984,-8.791168,4.624528,-0.277157,9.55015,-9.940955,T
-27.943205,-33.255365,19.481073,-2.307696,-7.24506,8.306877,-1.15186,-0.444669,-10.485626,7.711215,T
-9.82601,-35.613782,-36.297701,-22.950836,4.868067,18.66486,20.861391,-17.901893,0.112902,-10.354458,T
0.762702,24.740228,-24.18462,1.835242,10.750576,20.702429,21.008147,5.362487,14.998438,7.48565,F
1.009743,40.23783,-2.639201,-2.076869,10.101941,7.43738,4.653069,-14.150358,-2.794251,3.711372,F
-13.024537,14.636599,-49.937081,-12.627416,-7.471594,-5.523885,-9.991767,-20.12134,-7.647539,-14.526824,T
-28.641093,27.367949,-25.170688,-17.781809,-2.309961,-1.508781,4.268956,-7.750251,9.356139,6.051796,T
7.3174,31.488363,-29.405081,10.598163,9.946693,-5.886002,-4.875752,0.535948,14.400823,9.392658,F
-11.371009,4.037999,-54.354627,-15.742772,-4.833718,-3.112846,-6.326315,-2.933796,15.93548,5.972227,T
-19.189385,7.552429,-10.529787,-19.168861,-10.929851,-7.243272,0.9165,3.866128,-2.081193,-1.640751,T
-25.635041,-22.887839,-20.347536,-1.102323,24.929502,-20.745599,-5.666434,-1.839147,7.502319,0.821567,T
-32.492464,-48.075702,15.421809,-0.029403,24.176551,-9.662132,14.098058,0.723999,12.945145,-9.826318,T
-37.441022,7.569755,13.236346,-36.7984,45.24903,-5.200799,-4.062562,4.592874,-21.247719,15.378681,T
-17.863919,-4.676346,-24.099609,-9.726017,-8.918304,-8.138992,6.291968,5.836791,-6.742253,-14.103159,T
3.855745,-1.081737,-60.287971,-12.817951,-22.950098,-10.865501,-23.486909,-7.707544,-1.097486,-4.014352,T
3.903553,-9.43816,-10.443268,20.76879,9.891099,11.115317,3.21794,14.395096,1.900002,3.989573,F
35.479021,-40.370692,1.666654,-3.428001,6.062553,-3.395297,-2.057419,1.667591,-8.637275,-10.664824,F
30.361213,-42.372729,12.307947,8.847995,-3.038181,-9.183568,5.0698,1.371056,-7.711799,3.544031,F
6.445393,20.571965,-23.112892,16.190012,1.753219,2.083433,3.293217,-1.847568,3.284034,5.132015,F
6.725175,5.855839,-1.142826,21.215178,1.298881,-4.315751,-2.090521,0.685204,-10.780289,-5.239271,F
11.7235,-2.291159,12.580644,12.940811,-1.376691,-6.502194,-0.229426,9.262881,-7.375336,2.200097,F
