normal,gene14,gene1917,gene377,gene765,gene841,gene1671,gene892,gene493,gene1047,gene822,gene625,gene1416,gene1873,gene1597,gene1892,gene1400,gene67,gene1293,gene1388,gene1423
-1,1.02874,-0.167978,2.79307,0.505664,-1.60027,-0.416893,-0.887962,1.62459,-2.49923,-0.730527,-0.749753,-0.880757,1.88675,0.671953,-0.629941,-0.163824,1.22071,-1.6672,0.449207,-0.157766
1,0.255625,-0.74247,-0.86651,-0.518572,-2.11258,0.673107,-0.653228,0.03872,0.702935,-1.63708,0.225784,-0.606112,-0.938629,-0.210832,-2.01713,0.035253,-0.122837,0.384847,0.608616,-0.947733
-1,2.08865,-0.411039,1.24517,1.84852,0.401988,-0.968595,1.52875,1.48417,-2.22404,0.226412,-1.24503,1.12853,0.778822,-0.528005,0.479083,0.071298,1.32142,-2.98966,1.33453,0.511837
1,-1.84593,-0.280699,0.206886,-0.654079,0.497809,0.188356,-0.234376,0.37907,1.02599,-1.71256,0.521564,-2.93099,-0.569473,0.178398,-1.10078,0.636268,-0.885575,0.991906,-0.763431,-1.04373
-1,-0.660579,0.453765,0.480019,1.27248,0.697164,-1.75036,0.682372,1.46716,-0.334073,0.906518,-1.6444,-0.891652,0.610758,0.732518,1.09047,-1.42803,1.93345,-0.524762,-0.6411,1.25143
1,0.217414,-0.328554,-1.06196,-0.554355,0.811029,2.1186,1.72909,-0.943869,-0.793193,-1.12073,0.020976,0.330947,-0.099164,0.831048,0.380518,1.81095,0.531835,-0.393695,1.05412,-1.51337
-1,1.83464,0.727258,2.32254,0.65299,0.770656,1.35008,1.11421,1.40241,-1.12493,-0.224861,-1.20663,-0.834453,0.709306,2.28,0.289259,-2.14975,1.27219,-1.8497,0.758444,0.215158
1,0.262912,0.066443,-0.922103,-0.69135,-0.83707,-0.710774,-0.552452,-0.412118,-0.226297,-1.37047,0.062029,-0.52509,-0.529834,0.067173,-0.510021,1.22494,-0.35909,0.397269,0.828208,-0.862261
1,-1.41239,-0.293392,-0.668042,-0.896282,0.732139,0.282961,0.271077,-1.24689,0.822421,0.303539,0.9294,-1.61071,-0.253999,-1.06002,-0.444243,-0.700096,-0.319658,1.51155,-0.679448,-0.726423
1,-1.1616,-1.02184,-0.708878,-0.066362,0.62531,0.486299,0.324994,-0.82305,0.617032,-0.038461,1.40694,-0.665417,-0.558232,-1.31651,0.115098,-0.624488,0.147737,1.03152,-0.243766,-0.31353
1,-0.399909,0.001639,-0.951402,-0.816295,-0.074831,0.417348,-0.602765,-0.884028,1.09067,-0.731605,1.05687,-0.707457,-0.376744,-0.446471,-0.563711,-0.332788,0.213897,1.55219,-0.58801,-0.633585
1,-1.74159,0.215288,-0.788323,-0.783134,0.880796,-0.825631,-0.158845,-1.04328,0.907641,-0.825781,1.01588,-1.62734,0.15952,-2.53791,-0.067261,-1.98799,0.900701,1.20971,-0.35921,-0.08839
1,-1.20655,-0.790649,-0.407664,-0.369369,-0.214051,0.151039,0.084422,-1.18657,0.441343,-1.3793,1.75803,-1.40697,-0.659682,-3.66349,-0.256759,0.043155,-0.418861,0.927031,-0.304738,-0.620604
1,-0.527436,0.088124,-1.05026,0.021763,0.300626,0.123146,-0.807404,-1.05708,1.03022,0.149353,0.216811,0.779415,0.255202,-1.86149,-0.361446,0.036463,-0.196735,0.868487,-0.085919,0.421138
1,-0.140789,-1.15092,-0.692001,0.16038,0.592372,0.355803,0.476993,-0.549997,-0.792663,-0.705752,0.686197,0.980272,0.442407,-0.208297,0.222273,1.32189,0.409972,-0.965634,0.248615,-0.475018
1,0.468599,-1.7402,-0.612216,0.041811,0.795654,0.095302,-1.0441,-0.728455,-0.97515,-1.86355,1.44673,-0.822898,-0.323606,-1.01041,-0.081453,0.983679,-0.539499,0.100384,0.322408,-1.21846
1,0.105281,-0.602249,-0.967186,-1.0495,-0.02109,0.55201,-0.736203,-0.913241,0.804045,-0.015254,0.963104,0.113457,-0.606625,-0.034325,-0.165452,-0.285508,-1.52041,1.11188,-0.710118,-0.658125
1,-0.750862,-0.726568,-0.686497,0.081342,-0.226896,0.695614,-1.04013,-0.338867,1.68122,-0.306749,0.464888,-1.25431,-0.058879,-0.952389,-0.049133,-0.096745,0.315546,0.957159,-0.112729,-0.08603
1,0.063377,-1.65631,-1.65309,-0.819163,0.283383,1.88159,-1.324,-1.83724,-0.1456,-1.17079,0.906277,-0.078275,-0.730944,-0.234576,-0.955153,1.24028,-1.29151,1.09423,0.974032,-1.55807
1,-2.31952,0.463572,-0.659746,-0.832429,-0.958012,-0.817119,-0.442751,-0.570915,1.13194,-0.946913,-1.09858,-1.55388,-0.666954,-2.29605,-1.26058,-0.853598,-0.719253,-0.204898,-0.16128,0.217732
1,0.071696,-0.697529,-1.6452,-0.091932,0.555335,1.7433,-1.3478,-1.21756,1.03072,-1.56245,0.895546,-0.704497,-0.36261,0.165164,-0.864422,1.69367,-1.52053,1.11589,1.13241,-1.02148
-1,0.760898,0.783044,1.39393,1.33909,0.110798,-1.00121,2.25107,0.547207,0.170659,1.66941,-1.51859,1.24441,-0.442482,1.32172,2.27016,0.650447,1.52323,-0.027105,1.0974,1.49866
1,-0.142293,-0.105441,-0.347112,-2.1303,1.2479,0.29072,-0.338699,-0.738518,1.05879,0.126097,1.64226,0.210066,0.45298,0.200959,-1.49576,-0.274835,0.858385,0.923815,-0.140943,-0.388182
1,-0.232203,0.879838,-0.970712,-0.800751,-0.280262,-0.094371,-1.09306,-0.977785,0.923272,0.634039,0.415664,-0.213669,-0.803127,-0.612437,-0.502851,-0.202959,-0.881782,1.13651,-0.614012,0.17575
-1,1.31337,0.285083,1.48753,0.109645,-1.16641,-1.55922,-0.019956,0.366829,-1.42853,0.874733,-1.35399,0.776609,0.585028,1.15909,1.27914,-0.121483,0.088559,-1.27672,1.77593,0.418571
-1,1.04868,1.47743,0.923745,0.953207,1.33173,-1.29321,-0.226382,1.62195,-0.96937,1.41252,-0.171267,1.57688,1.83454,0.805346,0.917024,0.319593,0.953024,-0.545076,-1.78108,1.32519
1,0.08924,-1.77506,-0.600602,-0.853935,0.722418,1.52745,-0.954304,-1.03132,0.126167,-0.540821,1.41426,0.550988,0.676643,0.447727,-0.399639,2.3266,-0.55613,0.248389,-0.966853,-0.664787
1,0.026216,0.301769,-0.09786,-0.01211,0.718137,-0.834091,0.607102,0.43863,-0.764693,0.858329,-0.868588,-0.221598,0.581065,-0.204137,0.357574,-0.216494,1.45485,-0.058028,-0.246543,0.937619
1,0.660668,-0.935249,-0.61041,-0.898644,1.26555,0.708197,-1.02261,-0.636079,-0.411855,-0.741258,0.86473,0.087161,0.448561,0.522716,-1.04314,1.17326,-1.30799,0.546118,-0.246657,-1.46176
1,-0.261051,-1.03706,-1.84239,-1.31511,0.395047,-0.166675,-0.038188,-1.81962,0.930289,0.03238,-0.586901,-0.218954,-0.726319,0.568904,-1.50261,2.4155,-0.443294,0.497749,0.4643,-1.42388
-1,0.731312,1.20801,1.19715,-0.406948,0.955901,-1.34472,1.77205,-0.045496,-1.04887,1.13283,-1.04714,1.14892,1.38026,-0.038347,0.984154,-1.61786,0.558756,-0.20562,-1.70453,0.939908
1,0.061964,0.768901,0.70518,0.135997,1.13619,-0.721404,1.53156,1.02057,-0.380491,1.38981,-0.390316,0.630879,0.961318,0.646064,0.464721,-0.708121,1.47842,-0.620577,-0.024134,0.928112
-1,1.06366,1.58199,-0.193367,0.939973,-1.51729,0.216881,1.60826,1.77076,-0.298695,1.43652,-0.742501,1.55542,0.105941,1.35133,1.91059,0.194183,1.18121,-0.390914,-0.784707,1.66433
-1,-0.015205,-3.12738,-0.137593,-1.27574,1.40817,-0.355162,-0.740748,0.0915,0.475153,-0.814681,0.408603,-0.761014,-1.41948,1.30475,-0.340433,0.006701,0.004581,0.619135,-0.437336,-1.23214
1,0.954973,-0.997469,-0.761555,-0.477421,0.80956,-0.033978,-1.14013,-0.605867,0.713768,-0.338188,1.10302,-0.079187,-0.819217,0.786019,-0.495257,1.47715,-0.74945,0.26629,0.880615,-2.399
1,0.156209,0.295722,-0.552491,-0.504203,0.49203,0.814943,-1.16679,-0.502564,1.04707,0.002858,0.61061,-0.101047,-0.397775,0.455232,0.468867,0.083999,-1.67309,1.00531,1.32291,-0.911255
-1,1.39249,1.90586,0.114126,0.888538,1.10359,-0.52204,0.032779,0.448844,-0.441505,1.68828,-1.8871,1.24241,0.018724,1.43728,1.11417,0.120995,0.193194,0.281015,1.05758,1.36077
-1,-0.769534,0.396271,-0.164317,-1.92326,0.459022,1.27111,-0.553943,-0.937252,0.62522,0.406752,-0.107927,1.01067,0.055869,0.247832,-0.323548,0.191606,-0.304799,0.267743,-2.07184,-0.373469
1,1.12447,0.662972,0.749598,0.965813,0.147986,0.531178,1.15768,0.314639,-0.437891,1.29745,-0.480854,1.56852,0.79872,0.803454,1.70824,0.782236,0.993333,-0.773742,0.947353,1.05664
1,-0.324529,-0.141406,-0.75391,-0.842043,-2.78492,-0.025612,-0.342415,-0.213315,1.30668,0.737576,-0.726459,1.96535,-1.46301,0.363797,0.595536,0.394476,-1.08463,0.490584,-0.489119,0.456182
1,-1.39987,1.06678,0.001145,-1.30552,-0.801316,0.221683,-1.07017,-0.567127,1.61455,0.611445,0.19067,-0.047245,0.232765,-0.531232,-0.005179,-0.308762,-1.18175,1.24074,-0.979989,-0.306563
1,-0.229063,0.500274,-0.507101,-0.830158,0.133534,-0.208402,-0.433639,-0.556259,-0.09364,-0.120651,0.844114,0.358097,-0.257715,0.357328,-2.46453,1.03369,-0.223661,0.553416,0.509418,-0.926462
-1,-0.118578,1.18144,2.21181,0.056917,1.03779,-0.340699,1.27876,0.347547,0.305967,1.25762,-0.626193,0.596158,1.58299,0.093008,1.92063,-1.12982,1.7953,-0.134233,-1.68214,1.08279
1,-1.33116,-2.18534,-0.212275,-1.61317,0.709645,1.20989,-0.565687,-1.28944,0.761279,-0.690955,1.41968,0.225655,-0.174225,0.258445,-0.558186,0.473929,-1.3592,1.01023,0.006354,-1.09074
-1,0.696933,1.06067,0.365677,0.492348,0.576813,1.08054,0.50974,0.694332,-0.12444,1.04098,-0.100459,1.845,0.824397,0.712104,1.14638,0.545995,0.861721,-0.445138,0.489603,1.17024
