z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,normal
-3602.541734,0.030903,0.026507,0.000085,-0.00847,-0.009574,-0.050942,-0.013996,-0.002822,0.0522,T
6550.076361,-0.011971,-0.008106,0.019754,-0.033061,-0.004174,-0.020981,-0.011006,0.044093,0.000975,F
6550.076357,0.003771,-0.033385,-0.021825,-0.009915,0.005971,-0.035793,0.014141,-0.013503,0.008438,F
-3602.541743,0.03705,-0.01112,0.019794,-0.017952,0.010929,0.013421,0.01636,-0.014459,0.01156,T
-3602.541744,0.025646,0.021549,-0.020048,0.000142,-0.021406,-0.034004,0.009434,-0.009226,0.028578,T
6550.076361,-0.013618,-0.015125,0.024813,0.020273,0.006657,-0.04323,0.019174,0.0023,-0.002198,F
6550.076355,-0.039822,0.002885,-0.000319,0.050203,-0.026187,0.065619,-0.001711,-0.021692,-0.026836,F
-3602.541737,-0.008168,0.009341,-0.010463,-0.029117,0.002008,0.000024,0.013339,0.017537,0.024493,T
-3602.541745,0.063692,-0.005694,-0.00793,0.007045,-0.034854,0.062758,-0.028692,0.028919,-0.007398,T
-3602.541753,-0.02278,-0.038674,-0.00476,-0.00713,0.019452,-0.015231,-0.012425,0.00647,0.017321,T
-3602.541749,-0.003603,0.03111,0.017662,0.059298,-0.007287,-0.016905,0.03544,0.010989,-0.024668,T
6550.076367,0.023861,0.010552,0.018065,-0.038486,0.019175,0.012728,-0.011595,-0.005926,0.043824,F
-3602.541747,0.00216,-0.003686,0.069167,-0.011594,-0.00794,0.016264,0.023127,0.02281,-0.028647,T
6550.076358,-0.020008,-0.024512,0.005869,-0.006683,0.009071,0.002549,-0.011471,-0.013787,0.012198,F
